Accession	BioSampleAccession	BioSampleName	SequenceLength	SequenceDefinition
CP014497.1	SAMN04381846	Escherichia coli strain ZH193, complete genome.	5046610	Escherichia coli strain ZH193, complete genome.
CP014498.1	SAMN04381846	Escherichia coli strain ZH193 plasmid pZH193, complete sequence.	209768	Escherichia coli strain ZH193 plasmid pZH193, complete sequence.
CP014522.1	SAMN04381853	Escherichia coli strain ZH063, complete genome.	5033359	Escherichia coli strain ZH063, complete genome.
CP014523.1	SAMN04381853	Escherichia coli strain ZH063 plasmid pZH063_1, complete sequence.	114223	Escherichia coli strain ZH063 plasmid pZH063_1, complete sequence.
CP014524.1	SAMN04381853	Escherichia coli strain ZH063 plasmid pZH063_2, complete sequence.	49467	Escherichia coli strain ZH063 plasmid pZH063_2, complete sequence.
CP014583.1	SAMN02688212	Escherichia coli strain CFSAN004176, complete genome.	5193734	Escherichia coli strain CFSAN004176, complete genome.
CP014641.1	SAMN04497926	Escherichia coli strain BLK9, complete genome.	4165587	Escherichia coli strain BLK9, complete genome.
CP014642.1	SAMN04505873	Escherichia coli strain BLK16 chromosome, complete genome.	4165783	Escherichia coli strain BLK16 chromosome, complete genome.
CP014667.1	SAMN03455931	Escherichia coli strain ECONIH2, complete genome.	5116831	Escherichia coli strain ECONIH2, complete genome.
CP014668.1	SAMN03455931	Escherichia coli strain ECONIH2 plasmid pECO-bc6, complete sequence.	101201	Escherichia coli strain ECONIH2 plasmid pECO-bc6, complete sequence.
CP014669.1	SAMN03455931	Escherichia coli strain ECONIH2 plasmid pKpQIL-571, complete sequence.	113852	Escherichia coli strain ECONIH2 plasmid pKpQIL-571, complete sequence.
CP015020.1	SAMN04202540	Escherichia coli strain 28RC1, complete sequence.	5561698	Escherichia coli strain 28RC1, complete sequence.
CP015021.1	SAMN04202540	Escherichia coli strain 28RC1 plasmid p28RC1, complete sequence.	81401	Escherichia coli strain 28RC1 plasmid p28RC1, complete sequence.
CP015022.1	SAMN04202539	Escherichia coli strain SRCC 1675 plasmid pSRCC 1675, complete sequence.	95170	Escherichia coli strain SRCC 1675 plasmid pSRCC 1675, complete sequence.
CP015023.1	SAMN04202539	Escherichia coli strain SRCC 1675 chromosome, complete genome.	5506801	Escherichia coli strain SRCC 1675 chromosome, complete genome.
CP015069.1	SAMN04590096	Escherichia coli strain Ecol_743, complete genome.	4856574	Escherichia coli strain Ecol_743, complete genome.
CP015074.2	SAMN04590095	Escherichia coli strain Ecol_745, complete genome.	4977366	Escherichia coli strain Ecol_745, complete genome.
CP015075.2	SAMN04590095	Escherichia coli strain Ecol_745 plasmid pEC745_OXA48, complete sequence.	63544	Escherichia coli strain Ecol_745 plasmid pEC745_OXA48, complete sequence.
CP015076.1	SAMN04590097	Escherichia coli strain Ecol_448, complete genome.	5007393	Escherichia coli strain Ecol_448, complete genome.
CP015077.1	SAMN04590097	Escherichia coli strain Ecol_448 plasmid pEC448_1, complete sequence.	133735	Escherichia coli strain Ecol_448 plasmid pEC448_1, complete sequence.
CP015078.1	SAMN04590097	Escherichia coli strain Ecol_448 plasmid pEC448_OXA163, complete sequence.	71170	Escherichia coli strain Ecol_448 plasmid pEC448_OXA163, complete sequence.
CP015085.1	SAMN04605558	Escherichia coli O25b:H4, complete sequence.	5289898	Escherichia coli O25b:H4, complete sequence.
CP015088.1	SAMN04605558	Escherichia coli O25b:H4 extrachomosomal sequence.	29509	Escherichia coli O25b:H4 extrachomosomal sequence.
CP015138.1	SAMN04621897	Escherichia coli strain Ecol_732, complete genome.	5009900	Escherichia coli strain Ecol_732, complete genome.
CP015159.1	SAMN03455974	Escherichia coli strain Eco889, complete sequence.	5012253	Escherichia coli strain Eco889, complete sequence.
CP015160.1	SAMN03455974	Escherichia coli strain Eco889 plasmid pECO-fce, complete sequence.	212180	Escherichia coli strain Eco889 plasmid pECO-fce, complete sequence.
CP015161.1	SAMN03455974	Escherichia coli strain Eco889 plasmid pECO-93a, complete sequence.	88023	Escherichia coli strain Eco889 plasmid pECO-93a, complete sequence.
CP015228.1	SAMN02808333	Escherichia coli strain 09-00049, complete genome.	5286558	Escherichia coli strain 09-00049, complete genome.
CP015229.1	SAMN02808332	Escherichia coli strain 06-00048, complete sequence.	5498453	Escherichia coli strain 06-00048, complete sequence.
CP015239.1	SAMN04851092	Escherichia coli strain 2011C-3911 plasmid unnamed1, complete genome.	125977	Escherichia coli strain 2011C-3911 plasmid unnamed1, complete genome.
CP015240.1	SAMN04851092	Escherichia coli strain 2011C-3911, complete genome.	4863599	Escherichia coli strain 2011C-3911, complete genome.
CP015241.1	SAMN04851091	Escherichia coli strain 2013C-4465, complete sequence.	5428937	Escherichia coli strain 2013C-4465, complete sequence.
CP015242.1	SAMN04851091	Escherichia coli strain 2013C-4465 plasmid unnamed1, complete sequence.	66029	Escherichia coli strain 2013C-4465 plasmid unnamed1, complete sequence.
CP015244.1	SAMN04623227	Escherichia coli O91 str. RM7190, complete sequence.	4903701	Escherichia coli O91 str. RM7190, complete sequence.
CP015245.1	SAMN04623227	Escherichia coli O91 str. RM7190 plasmid pRM7190-1, complete sequence.	8122	Escherichia coli O91 str. RM7190 plasmid pRM7190-1, complete sequence.
CP015246.1	SAMN04623227	Escherichia coli O91 str. RM7190 plasmid pRM7190-2, complete sequence.	118513	Escherichia coli O91 str. RM7190 plasmid pRM7190-2, complete sequence.
CP015816.1	SAMN04191546	Escherichia coli O157:H7 strain JEONG-1266 plasmid p0157, complete sequence.	95910	Escherichia coli O157:H7 strain JEONG-1266 plasmid p0157, complete sequence.
CP015831.1	SAMN05007045	Escherichia coli O157 strain 644-PT8, complete genome.	5831209	Escherichia coli O157 strain 644-PT8, complete genome.
CP015832.1	SAMN05007044	Escherichia coli O157 strain 180-PT54, complete genome.	5509528	Escherichia coli O157 strain 180-PT54, complete genome.
CP015833.1	SAMN05007044	Escherichia coli O157 strain 180-PT54 plasmid, complete sequence.	240662	Escherichia coli O157 strain 180-PT54 plasmid, complete sequence.
CP015834.1	SAMN04939501	Escherichia coli strain MS6198, complete genome.	5176750	Escherichia coli strain MS6198, complete genome.
CP015835.1	SAMN04939501	Escherichia coli strain MS6198 plasmid pMS6198A, complete sequence.	137565	Escherichia coli strain MS6198 plasmid pMS6198A, complete sequence.
CP015836.1	SAMN04939501	Escherichia coli strain MS6198 plasmid pMS6198B, complete sequence.	136327	Escherichia coli strain MS6198 plasmid pMS6198B, complete sequence.
CP015837.1	SAMN04939501	Escherichia coli strain MS6198 plasmid pMS6198C, complete sequence.	98242	Escherichia coli strain MS6198 plasmid pMS6198C, complete sequence.
CP015838.1	SAMN04939501	Escherichia coli strain MS6198 plasmid pMS6198D, complete sequence.	50899	Escherichia coli strain MS6198 plasmid pMS6198D, complete sequence.
CP015842.1	SAMN04191553	Escherichia coli O157:H7 strain FRIK2533, complete sequence.	5645219	Escherichia coli O157:H7 strain FRIK2533, complete sequence.
CP015843.2	SAMN04531998	Escherichia coli O157:H7 strain FRIK2455, complete genome.	5645233	Escherichia coli O157:H7 strain FRIK2455, complete genome.
CP015844.2	SAMN04531998	Escherichia coli O157:H7 strain FRIK2455 plasmid pO157, complete sequence.	95598	Escherichia coli O157:H7 strain FRIK2455 plasmid pO157, complete sequence.
CP015845.2	SAMN04531998	Escherichia coli O157:H7 strain FRIK2455 plasmid p35K, complete sequence.	34689	Escherichia coli O157:H7 strain FRIK2455 plasmid p35K, complete sequence.
CP015846.1	SAMN04191551	Escherichia coli O157:H7 strain FRIK2069, complete sequence.	5645226	Escherichia coli O157:H7 strain FRIK2069, complete sequence.
CP015847.2	SAMN04191551	Escherichia coli O157:H7 strain FRIK2069 plasmid p0157, complete sequence.	95599	Escherichia coli O157:H7 strain FRIK2069 plasmid p0157, complete sequence.
CP015853.1	SAMN01916927	Escherichia coli strain ATCC 43889, complete genome.	5567434	Escherichia coli strain ATCC 43889, complete genome.
CP015854.1	SAMN01916927	Escherichia coli strain ATCC 43889 plasmid, complete genome.	92854	Escherichia coli strain ATCC 43889 plasmid, complete genome.
CP015912.1	SAMN05177221	Escherichia coli strain 210205630, complete sequence.	5005730	Escherichia coli strain 210205630, complete sequence.
CP015995.1	SAMN05190012	Escherichia coli strain S51, complete genome.	4994918	Escherichia coli strain S51, complete genome.
CP015996.1	SAMN05190012	Escherichia coli strain S51 plasmid pS51_1, complete sequence.	93029	Escherichia coli strain S51 plasmid pS51_1, complete sequence.
CP015997.1	SAMN05190012	Escherichia coli strain S51 plasmid pS51_2, complete sequence.	98216	Escherichia coli strain S51 plasmid pS51_2, complete sequence.
CP016007.1	SAMN05194365	Escherichia coli strain NGF1, complete genome.	5026105	Escherichia coli strain NGF1, complete genome.
CP016008.1	SAMN05194365	Escherichia coli strain NGF1 plasmid pNGF1_pCROD2_like, complete sequence.	40158	Escherichia coli strain NGF1 plasmid pNGF1_pCROD2_like, complete sequence.
CP016009.1	SAMN05194365	Escherichia coli strain NGF1 plasmid pNGF1_pCol_let_like, complete sequence.	8556	Escherichia coli strain NGF1 plasmid pNGF1_pCol_let_like, complete sequence.
CP016018.1	SAMN05210771	Escherichia coli strain ER1821R, complete genome.	4595577	Escherichia coli strain ER1821R, complete genome.
CP016358.1	SAMN05291917	Escherichia coli strain K-15KW01 chromosome, complete genome.	5154641	Escherichia coli strain K-15KW01 chromosome, complete genome.
CP016404.1	SAMN05346848	Escherichia coli strain 210221272 chromosome, complete genome.	4668621	Escherichia coli strain 210221272 chromosome, complete genome.
CP016405.1	SAMN05346848	Escherichia coli strain 210221272 plasmid pSLy21, complete sequence.	63329	Escherichia coli strain 210221272 plasmid pSLy21, complete sequence.
CP016497.1	SAMN05392487	Escherichia coli strain UPEC 26-1, complete sequence.	5178720	Escherichia coli strain UPEC 26-1, complete sequence.
CP016498.1	SAMN05392487	Escherichia coli strain UPEC 26-1 plasmid unnamed1, complete sequence.	151033	Escherichia coli strain UPEC 26-1 plasmid unnamed1, complete sequence.
CP016546.1	SAMN05407982	Escherichia coli strain O177:H21, complete sequence.	5134536	Escherichia coli strain O177:H21, complete sequence.
CP016549.1	SAMN05407982	Escherichia coli strain O177:H21 plasmid unnamed3, complete sequence.	126046	Escherichia coli strain O177:H21 plasmid unnamed3, complete sequence.
CP016625.1	SAMN04510563	Escherichia coli O157:H7 strain FRIK944, complete genome.	5770602	Escherichia coli O157:H7 strain FRIK944, complete genome.
CP016626.1	SAMN04510563	Escherichia coli O157:H7 strain FRIK944 plasmid p0157, complete sequence.	95598	Escherichia coli O157:H7 strain FRIK944 plasmid p0157, complete sequence.
CP016628.1	SAMN04965119	Escherichia coli strain FORC_041, complete genome.	4867152	Escherichia coli strain FORC_041, complete genome.
CP016755.1	SAMN05417814	Escherichia coli strain FORC_044, complete sequence.	5483726	Escherichia coli strain FORC_044, complete sequence.
CP016828.1	SAMN05520965	Escherichia coli strain FORC_043, complete genome.	5244443	Escherichia coli strain FORC_043, complete genome.
CP017100.1	SAMN05725120	Escherichia coli strain K-12 NEB 5-alpha chromosome, complete genome.	4583637	Escherichia coli strain K-12 NEB 5-alpha chromosome, complete genome.
CP017220.1	SAMN05762409	Escherichia coli strain FAM21845, complete sequence.	4901993	Escherichia coli strain FAM21845, complete sequence.
CP017249.1	SAMN05729957	Escherichia coli strain NADC 5570/86-24/6565, complete sequence.	5467107	Escherichia coli strain NADC 5570/86-24/6565, complete sequence.
CP017250.1	SAMN05729957	Escherichia coli strain NADC 5570/86-24/6565 plasmid pO157, complete sequence.	92690	Escherichia coli strain NADC 5570/86-24/6565 plasmid pO157, complete sequence.
CP017251.1	SAMN05729956	Escherichia coli strain NADC 5570/86-24/6564, complete sequence.	5466770	Escherichia coli strain NADC 5570/86-24/6564, complete sequence.
CP017252.1	SAMN05729956	Escherichia coli strain NADC 5570/86-24/6564 plasmid pO157, complete sequence.	92691	Escherichia coli strain NADC 5570/86-24/6564 plasmid pO157, complete sequence.
CP017434.1	SAMN04447635	Escherichia coli O157:H7 strain 1130, complete sequence.	5416383	Escherichia coli O157:H7 strain 1130, complete sequence.
CP017435.1	SAMN04447635	Escherichia coli O157:H7 strain 1130 plasmid pO157, complete sequence.	92624	Escherichia coli O157:H7 strain 1130 plasmid pO157, complete sequence.
CP017436.1	SAMN04447629	Escherichia coli O157:H7 strain 2149, complete sequence.	5408208	Escherichia coli O157:H7 strain 2149, complete sequence.
CP017437.1	SAMN04447629	Escherichia coli O157:H7 strain 2149 plasmid pO157, complete sequence.	92565	Escherichia coli O157:H7 strain 2149 plasmid pO157, complete sequence.
CP017438.1	SAMN04447630	Escherichia coli O157:H7 strain 2159, complete sequence.	5416633	Escherichia coli O157:H7 strain 2159, complete sequence.
CP017439.1	SAMN04447630	Escherichia coli O157:H7 strain 2159 plasmid pO157, complete sequence.	92596	Escherichia coli O157:H7 strain 2159 plasmid pO157, complete sequence.
CP017440.1	SAMN04447623	Escherichia coli O157:H7 strain 3384, complete sequence.	5438591	Escherichia coli O157:H7 strain 3384, complete sequence.
CP017441.1	SAMN04447623	Escherichia coli O157:H7 strain 3384 plasmid pO157, complete sequence.	92729	Escherichia coli O157:H7 strain 3384 plasmid pO157, complete sequence.
CP017442.1	SAMN04447636	Escherichia coli O157:H7 strain 4276, complete sequence.	5404558	Escherichia coli O157:H7 strain 4276, complete sequence.
CP017443.1	SAMN04447636	Escherichia coli O157:H7 strain 4276 plasmid pO157, complete sequence.	92583	Escherichia coli O157:H7 strain 4276 plasmid pO157, complete sequence.
CP017444.1	SAMN04447624	Escherichia coli O157:H7 strain 8368, complete sequence.	5437532	Escherichia coli O157:H7 strain 8368, complete sequence.
CP017445.1	SAMN04447624	Escherichia coli O157:H7 strain 8368 plasmid pO157, complete sequence.	92726	Escherichia coli O157:H7 strain 8368 plasmid pO157, complete sequence.
CP017446.1	SAMN04447632	Escherichia coli O157:H7 strain 9234, complete sequence.	5410617	Escherichia coli O157:H7 strain 9234, complete sequence.
CP017447.1	SAMN04447632	Escherichia coli O157:H7 strain 9234 plasmid pO157, complete sequence.	92559	Escherichia coli O157:H7 strain 9234 plasmid pO157, complete sequence.
CP017844.1	SAMN05945146	Escherichia coli strain FMU073332, complete genome.	4718719	Escherichia coli strain FMU073332, complete genome.
CP018103.1	SAMN06029893	Escherichia coli strain MRSN352231 chromosome, complete genome.	4794148	Escherichia coli strain MRSN352231 chromosome, complete genome.
CP018109.1	SAMN06029894	Escherichia coli strain MRSN346595 chromosome, complete genome.	4796421	Escherichia coli strain MRSN346595 chromosome, complete genome.
CP018115.1	SAMN06029895	Escherichia coli strain MRSN346638 chromosome, complete genome.	4798436	Escherichia coli strain MRSN346638 chromosome, complete genome.
CP018121.1	SAMN06029896	Escherichia coli strain MRSN346355 chromosome, complete genome.	4794148	Escherichia coli strain MRSN346355 chromosome, complete genome.
CP018206.1	SAMN06067968	Escherichia coli strain MRSN346647, complete genome.	5041399	Escherichia coli strain MRSN346647, complete genome.
CP018207.1	SAMN06067968	Escherichia coli strain MRSN346647 plasmid pMRSN346647_113.1, complete sequence.	113140	Escherichia coli strain MRSN346647 plasmid pMRSN346647_113.1, complete sequence.
CP018208.1	SAMN06067968	Escherichia coli strain MRSN346647 plasmid pMRSN346647_4.1, complete sequence.	4074	Escherichia coli strain MRSN346647 plasmid pMRSN346647_4.1, complete sequence.
CP018237.1	SAMN05544764	Escherichia coli strain 155, complete genome.	5513008	Escherichia coli strain 155, complete genome.
CP018238.1	SAMN05544764	Escherichia coli strain 155 plasmid pO157, complete sequence.	91420	Escherichia coli strain 155 plasmid pO157, complete sequence.
CP018239.1	SAMN05544766	Escherichia coli strain 272 chromosome, complete genome.	5474193	Escherichia coli strain 272 chromosome, complete genome.
CP018626.1	SAMN05417814	Escherichia coli strain FORC_044 plasmid pFORC44_2, complete sequence.	107692	Escherichia coli strain FORC_044 plasmid pFORC44_2, complete sequence.
CP018948.1	SAMN05511177	Escherichia coli strain Ecol_224 chromosome, complete genome.	4891786	Escherichia coli strain Ecol_224 chromosome, complete genome.
CP018953.1	SAMN05511184	Escherichia coli strain Ecol_276 chromosome, complete genome.	4898796	Escherichia coli strain Ecol_276 chromosome, complete genome.
CP018957.1	SAMN05511183	Escherichia coli strain Ecol_316 chromosome, complete genome.	5056072	Escherichia coli strain Ecol_316 chromosome, complete genome.
CP018963.1	SAMN05511179	Escherichia coli strain Ecol_517 plasmid pEC517_KPC, complete sequence.	54644	Escherichia coli strain Ecol_517 plasmid pEC517_KPC, complete sequence.
CP018965.1	SAMN05511179	Escherichia coli strain Ecol_517 chromosome, complete genome.	4794957	Escherichia coli strain Ecol_517 chromosome, complete genome.
CP018970.1	SAMN05511186	Escherichia coli strain Ecol_542 chromosome, complete genome.	5259387	Escherichia coli strain Ecol_542 chromosome, complete genome.
CP018973.1	SAMN05511169	Escherichia coli strain Ecol_545 plasmid pEC545_3, complete sequence.	70152	Escherichia coli strain Ecol_545 plasmid pEC545_3, complete sequence.
CP018975.1	SAMN05511169	Escherichia coli strain Ecol_545 plasmid pEC545_1, complete sequence.	95926	Escherichia coli strain Ecol_545 plasmid pEC545_1, complete sequence.
CP018976.1	SAMN05511169	Escherichia coli strain Ecol_545 chromosome, complete genome.	5031843	Escherichia coli strain Ecol_545 chromosome, complete genome.
CP018979.1	SAMN05511161	Escherichia coli strain Ecol_656 chromosome, complete genome.	5228864	Escherichia coli strain Ecol_656 chromosome, complete genome.
CP018983.1	SAMN05511148	Escherichia coli strain Ecol_867 chromosome, complete genome.	4947532	Escherichia coli strain Ecol_867 chromosome, complete genome.
CP018991.1	SAMN05511152	Escherichia coli strain Ecol_AZ146 chromosome, complete genome.	5434745	Escherichia coli strain Ecol_AZ146 chromosome, complete genome.
CP018995.1	SAMN05511182	Escherichia coli strain Ecol_AZ147 chromosome, complete genome.	4708839	Escherichia coli strain Ecol_AZ147 chromosome, complete genome.
CP019000.1	SAMN05511160	Escherichia coli strain Ecol_AZ153 chromosome, complete genome.	4998584	Escherichia coli strain Ecol_AZ153 chromosome, complete genome.
CP019002.1	SAMN05511168	Escherichia coli strain Ecol_AZ155 plasmid pECAZ155_2, complete sequence.	112917	Escherichia coli strain Ecol_AZ155 plasmid pECAZ155_2, complete sequence.
CP019004.1	SAMN05511168	Escherichia coli strain Ecol_AZ155 plasmid pECAZ155_4, complete sequence.	1597	Escherichia coli strain Ecol_AZ155 plasmid pECAZ155_4, complete sequence.
CP019005.1	SAMN05511168	Escherichia coli strain Ecol_AZ155 chromosome, complete genome.	4690903	Escherichia coli strain Ecol_AZ155 chromosome, complete genome.
CP019006.1	SAMN05511159	Escherichia coli strain Ecol_AZ159 plasmid pECAZ159_2, complete sequence.	47531	Escherichia coli strain Ecol_AZ159 plasmid pECAZ159_2, complete sequence.
CP019008.1	SAMN05511159	Escherichia coli strain Ecol_AZ159 chromosome, complete genome.	4926149	Escherichia coli strain Ecol_AZ159 chromosome, complete genome.
CP019012.1	SAMN05511166	Escherichia coli strain Ecol_AZ161 chromosome, complete genome.	4911496	Escherichia coli strain Ecol_AZ161 chromosome, complete genome.
CP019015.1	SAMN05511185	Escherichia coli strain Ecol_AZ162 chromosome, complete genome.	5099988	Escherichia coli strain Ecol_AZ162 chromosome, complete genome.
CP019020.1	SAMN05511157	Escherichia coli strain Ecol_244 chromosome, complete genome.	4913259	Escherichia coli strain Ecol_244 chromosome, complete genome.
CP019029.1	SAMN05511150	Escherichia coli strain Ecol_881.	5262974	Escherichia coli strain Ecol_881.
CP019051.1	SAMN06198938	Escherichia coli strain CRE1540, complete sequence.	4942719	Escherichia coli strain CRE1540, complete sequence.
CP019071.1	SAMN06198937	Escherichia coli strain CRE1493, complete sequence.	4877335	Escherichia coli strain CRE1493, complete sequence.
CP019075.1	SAMN06198937	Escherichia coli strain CRE1493 plasmid p1493-4, complete sequence.	96986	Escherichia coli strain CRE1493 plasmid p1493-4, complete sequence.
CP019213.3	SAMN06197014	Escherichia coli strain WCHEC050613 chromosome, complete genome.	4669790	Escherichia coli strain WCHEC050613 chromosome, complete genome.
CP019243.1	SAMN06219546	Escherichia coli strain Combat2C1, complete sequence.	5202049	Escherichia coli strain Combat2C1, complete sequence.
CP019245.1	SAMN06219547	Escherichia coli strain Combat13F7 chromosome, complete genome.	4729175	Escherichia coli strain Combat13F7 chromosome, complete genome.
CP019250.1	SAMN06219548	Escherichia coli strain 13KWH46 chromosome, complete genome.	4886145	Escherichia coli strain 13KWH46 chromosome, complete genome.
CP019256.1	SAMN06219549	Escherichia coli strain 13TMH22 chromosome, complete genome.	4790436	Escherichia coli strain 13TMH22 chromosome, complete genome.
CP019259.1	SAMN06219550	Escherichia coli strain 13C1065T, complete sequence.	4658762	Escherichia coli strain 13C1065T, complete sequence.
CP019267.1	SAMN06219551	Escherichia coli strain 13C1079T, complete sequence.	4740860	Escherichia coli strain 13C1079T, complete sequence.
CP019271.1	SAMN06219552	Escherichia coli strain 13P460A chromosome, complete genome.	4765102	Escherichia coli strain 13P460A chromosome, complete genome.
CP019272.1	SAMN06219552	Escherichia coli strain 13P460A plasmid p13P460A-1, complete sequence.	129452	Escherichia coli strain 13P460A plasmid p13P460A-1, complete sequence.
CP019273.1	SAMN06219553	Escherichia coli strain 13P477T, complete sequence.	5050984	Escherichia coli strain 13P477T, complete sequence.
CP019280.1	SAMN06219554	Escherichia coli strain 13P484A, complete sequence.	4724424	Escherichia coli strain 13P484A, complete sequence.
CP019284.1	SAMN06219554	Escherichia coli strain 13P484A plasmid p13P484A-4, complete sequence.	93578	Escherichia coli strain 13P484A plasmid p13P484A-4, complete sequence.
CP019359.1	SAMN06236809	Escherichia coli strain XH990, complete sequence.	4883427	Escherichia coli strain XH990, complete sequence.
CP019455.1	SAMN06250205	Escherichia coli strain FHI_NMBU_03 chromosome, complete genome.	4685056	Escherichia coli strain FHI_NMBU_03 chromosome, complete genome.
CP019456.1	SAMN06250205	Escherichia coli strain FHI_NMBU_03 plasmid pFHI_NMBU_03_1, complete sequence.	159821	Escherichia coli strain FHI_NMBU_03 plasmid pFHI_NMBU_03_1, complete sequence.
CP019558.1	SAMN06165999	Escherichia coli strain KSC207 chromosome, complete genome.	4706707	Escherichia coli strain KSC207 chromosome, complete genome.
CP019559.1	SAMN06165999	Escherichia coli strain KSC207 plasmid pMRGN207, complete sequence.	277790	Escherichia coli strain KSC207 plasmid pMRGN207, complete sequence.
CP019560.1	SAMN06166007	Escherichia coli strain KSC1031 chromosome, complete genome.	4707009	Escherichia coli strain KSC1031 chromosome, complete genome.
CP019561.1	SAMN06166007	Escherichia coli strain KSC1031 plasmid pMRGN1031, complete sequence.	148529	Escherichia coli strain KSC1031 plasmid pMRGN1031, complete sequence.
CP019629.1	SAMN06227049	Escherichia coli strain MGY chromosome, complete genome.	4643284	Escherichia coli strain MGY chromosome, complete genome.
CP019777.1	SAMN06314223	Escherichia coli NU14 chromosome, complete genome.	5076615	Escherichia coli NU14 chromosome, complete genome.
CP019778.1	SAMN06314933	Escherichia coli strain NCTC86 chromosome, complete genome.	5111920	Escherichia coli strain NCTC86 chromosome, complete genome.
CP019903.1	SAMN06344815	Escherichia coli strain MDR_56 chromosome, complete genome.	4978170	Escherichia coli strain MDR_56 chromosome, complete genome.
CP019906.1	SAMN06344815	Escherichia coli strain MDR_56 plasmid unnamed5, complete sequence.	29168	Escherichia coli strain MDR_56 plasmid unnamed5, complete sequence.
CP019944.1	SAMN06434185	Escherichia coli strain DSM 103246 chromosome, complete genome.	5445834	Escherichia coli strain DSM 103246 chromosome, complete genome.
CP019953.1	SAMN06445833	Escherichia coli M8 chromosome, complete genome.	5108794	Escherichia coli M8 chromosome, complete genome.
CP019961.1	SAMN06448755	Escherichia coli strain HKUOPY1 chromosome, complete genome.	4774500	Escherichia coli strain HKUOPY1 chromosome, complete genome.
CP020025.1	SAMN06341081	Escherichia coli strain WB61, complete genome.	4687045	Escherichia coli strain WB61, complete genome.
CP020048.1	SAMN04014959	Escherichia coli strain AR_0118, complete genome.	5018461	Escherichia coli strain AR_0118, complete genome.
CP020051.1	SAMN04014959	Escherichia coli strain AR_0118 plasmid unitig_3, complete sequence.	91291	Escherichia coli strain AR_0118 plasmid unitig_3, complete sequence.
CP020055.1	SAMN04014910	Escherichia coli strain AR_0069, complete genome.	4658583	Escherichia coli strain AR_0069, complete genome.
CP020058.1	SAMN04014902	Escherichia coli strain AR_0061, complete genome.	4595238	Escherichia coli strain AR_0061, complete genome.
CP020092.1	SAMN06554468	Escherichia coli strain 13E0725 chromosome, complete genome.	5112484	Escherichia coli strain 13E0725 chromosome, complete genome.
CP020106.1	SAMN06563569	Escherichia coli strain 13E0780 chromosome, complete genome.	5371291	Escherichia coli strain 13E0780 chromosome, complete genome.
CP020107.1	SAMN06563579	Escherichia coli strain 13E0767 chromosome, complete genome.	4942246	Escherichia coli strain 13E0767 chromosome, complete genome.
CP020116.1	SAMN04014945	Escherichia coli strain AR_0104, complete genome.	4992088	Escherichia coli strain AR_0104, complete genome.
CP020368.1	SAMN06619924	Escherichia coli strain BLR(DE3) chromosome, complete genome.	4550811	Escherichia coli strain BLR(DE3) chromosome, complete genome.
CP020495.1	SAMN04096281	Escherichia coli strain 103 chromosome, complete genome.	5162123	Escherichia coli strain 103 chromosome, complete genome.
CP020509.1	SAMN04393397	Escherichia coli strain 165 chromosome, complete genome.	5087166	Escherichia coli strain 165 chromosome, complete genome.
CP020510.1	SAMN04393397	Escherichia coli strain 165 plasmid unnamed1, complete sequence.	118182	Escherichia coli strain 165 plasmid unnamed1, complete sequence.
CP020514.1	SAMN05194389	Escherichia coli strain 219 chromosome, complete genome.	5003410	Escherichia coli strain 219 chromosome, complete genome.
CP020516.1	SAMN05194390	Escherichia coli strain 222 chromosome, complete genome.	5162123	Escherichia coli strain 222 chromosome, complete genome.
CP020518.1	SAMN05194390	Escherichia coli strain 222 plasmid unnamed2, complete sequence.	48175	Escherichia coli strain 222 plasmid unnamed2, complete sequence.
CP020520.1	SAMN04622917	Escherichia coli strain 190 chromosome, complete genome.	4905831	Escherichia coli strain 190 chromosome, complete genome.
CP020522.1	SAMN04622917	Escherichia coli strain 190 plasmid unnamed3, complete sequence.	95146	Escherichia coli strain 190 plasmid unnamed3, complete sequence.
CP020523.1	SAMN04622917	Escherichia coli strain 190 plasmid unnamed2, complete sequence.	113880	Escherichia coli strain 190 plasmid unnamed2, complete sequence.
CP020543.1	SAMN06645125	Escherichia coli C, complete genome.	4617024	Escherichia coli C, complete genome.
CP020545.1	SAMN06649969	Escherichia coli strain ZJ3920 chromosome, complete genome.	5020272	Escherichia coli strain ZJ3920 chromosome, complete genome.
CP020835.1	SAMN05414625	Escherichia coli strain CFSAN051542 chromosome, complete genome.	4888773	Escherichia coli strain CFSAN051542 chromosome, complete genome.
CP020836.1	SAMN05414625	Escherichia coli strain CFSAN051542 plasmid pCFSAN051542, complete sequence.	37362	Escherichia coli strain CFSAN051542 plasmid pCFSAN051542, complete sequence.
CP020933.1	SAMN06819205	Escherichia coli strain HB-Coli0 chromosome, complete genome.	4858944	Escherichia coli strain HB-Coli0 chromosome, complete genome.
CP020936.1	SAMN06819205	Escherichia coli strain HB-Coli0 plasmid unnamed3, complete sequence.	64749	Escherichia coli strain HB-Coli0 plasmid unnamed3, complete sequence.
CP021103.1	SAMN06219553	Escherichia coli strain 13P477T plasmid p13P477T-7, complete sequence.	80206	Escherichia coli strain 13P477T plasmid p13P477T-7, complete sequence.
CP021175.1	SAMN06828737	Escherichia coli strain 5CRE51 chromosome, complete genome.	5041366	Escherichia coli strain 5CRE51 chromosome, complete genome.
CP021176.1	SAMN06828737	Escherichia coli strain 5CRE51 plasmid p5CRE51-MCR-1, complete sequence.	60961	Escherichia coli strain 5CRE51 plasmid p5CRE51-MCR-1, complete sequence.
