Biosample,Accession,Species,Prophage count
SAMN14074148,CP048787.1,Proteus spp,2
SAMN14085905,CP048806.1,Morganella morganii,5
SAMN14085905,CP048807.1,Morganella morganii,0
SAMN14085905,CP048808.1,Morganella morganii,0
SAMN14085905,CP048809.1,Morganella morganii,0
SAMN14117309,CP048893.1,Neisseria spp,1
SAMN14117309,CP048894.1,Neisseria spp,0
SAMN14117309,CP048895.1,Neisseria spp,0
SAMN14116991,CP048899.1,Neisseria spp,1
SAMN14116991,CP048900.1,Neisseria spp,0
SAMN14116991,CP048901.1,Neisseria spp,0
SAMN14116990,CP048902.1,Neisseria spp,1
SAMN14116990,CP048903.1,Neisseria spp,0
SAMN14116990,CP048904.1,Neisseria spp,0
SAMN14116989,CP048905.1,Neisseria spp,1
SAMN14116989,CP048906.1,Neisseria spp,0
SAMN14116989,CP048907.1,Neisseria spp,0
SAMN14116987,CP048908.1,Neisseria spp,1
SAMN14116987,CP048909.1,Neisseria spp,0
SAMN14116987,CP048910.1,Neisseria spp,0
SAMN14116988,CP048911.1,Neisseria spp,1
SAMN14116988,CP048912.1,Neisseria spp,0
SAMN14116988,CP048913.1,Neisseria spp,0
SAMN14128751,CP049015.1,Citrobacter spp,3
SAMN14153678,CP049110.1,Escherichia coli,0
SAMN14153678,CP049111.1,Escherichia coli,0
SAMN14129756,CP049161.1,Pseudomonas aeruginosa,0
SAMN14129756,CP049162.1,Pseudomonas aeruginosa,0
SAMN14151378,CP049192.1,Enterobacter spp,1
SAMN14151378,CP049193.1,Enterobacter spp,0
SAMN14151378,CP049194.1,Enterobacter spp,0
SAMN14151378,CP049195.1,Enterobacter spp,0
SAMN14149126,CP049197.1,Escherichia coli,3
SAMN14149265,CP049314.1,Acinetobacter baumannii,3
SAMN14149265,CP049315.1,Acinetobacter baumannii,0
SAMN14235221,CP049685.1,Streptococcus pyogenes,1
SAMN14235203,CP049686.1,Streptococcus pyogenes,0
SAMN14234553,CP049692.1,Streptococcus pyogenes,2
SAMN14234475,CP049695.1,Streptococcus pyogenes,2
SAMN14234404,CP049697.1,Streptococcus pyogenes,2
SAMN12995602,CP049753.1,Proteus spp,2
SAMN12995602,CP049754.1,Proteus spp,0
SAMN12995602,CP049755.1,Proteus spp,0
SAMN14253864,CP049775.1,Enterococcus faecalis,2
SAMN14253864,CP049776.1,Enterococcus faecalis,0
SAMN14253864,CP049777.1,Enterococcus faecalis,0
SAMN14081047,CP049924.1,Bacillus subtilis,2
SAMN14331836,CP049938.1,Streptococcus agalactiae,1
SAMN14331295,CP049941.1,Proteus spp,1
SAMN14331403,CP049942.1,Proteus spp,3
SAMN14360500,CP050013.1,Serratia spp,1
SAMN14353910,CP050171.1,Serratia spp,3
SAMN14353910,CP050172.1,Serratia spp,0
SAMN12026942,CP050173.1,Escherichia coli,3
SAMN12026942,CP050174.1,Escherichia coli,0
SAMN14380576,CP050175.1,Streptococcus pneumoniae,0
SAMN14380576,CP050176.1,Streptococcus pneumoniae,0
SAMN14409014,CP050311.1,Enterobacter spp,1
SAMN14409014,CP050312.1,Enterobacter spp,0
SAMN14271780,CP050322.1,Pseudomonas aeruginosa,1
SAMN14271775,CP050324.1,Pseudomonas aeruginosa,0
SAMN14409516,CP050385.1,Acinetobacter baumannii,4
SAMN14409516,CP050386.1,Acinetobacter baumannii,0
SAMN14409516,CP050387.1,Acinetobacter baumannii,0
SAMN14420255,CP050425.1,Acinetobacter baumannii,1
SAMN14420255,CP050426.1,Acinetobacter baumannii,0
SAMN14420255,CP050427.1,Acinetobacter baumannii,0
SAMN14420255,CP050428.1,Acinetobacter baumannii,0
SAMN14420255,CP050429.1,Acinetobacter baumannii,0
SAMN14420255,CP050430.1,Acinetobacter baumannii,0
SAMN14420255,CP050431.1,Acinetobacter baumannii,0
SAMN14265996,CP050447.1,Serratia spp,0
SAMN14408962,CP050491.1,Enterococcus faecalis,1
SAMN14433815,CP050505.1,Neisseria spp,1
SAMN14449833,CP050506.1,Enterobacter spp,1
SAMN14449833,CP050507.1,Enterobacter spp,0
SAMN14410111,CP050523.1,Acinetobacter baumannii,2
SAMN14410111,CP050524.1,Acinetobacter baumannii,0
SAMN14410111,CP050525.1,Acinetobacter baumannii,0
SAMN14414747,CP050526.1,Acinetobacter baumannii,2
SAMN14414747,CP050527.1,Acinetobacter baumannii,0
SAMN14414747,CP050528.1,Acinetobacter baumannii,0
SAMN14414747,CP050529.1,Acinetobacter baumannii,0
SAMN14450174,CP050706.1,Salmonella enterica,2
SAMN14450174,CP050707.1,Salmonella enterica,0
SAMN14450174,CP050708.1,Salmonella enterica,0
SAMN14450159,CP050757.1,Salmonella enterica,2
SAMN14450159,CP050758.1,Salmonella enterica,0
SAMN14450159,CP050759.1,Salmonella enterica,0
SAMN14450153,CP050777.1,Salmonella enterica,3
SAMN14450153,CP050778.1,Salmonella enterica,0
SAMN14450152,CP050779.1,Salmonella enterica,3
SAMN14450152,CP050780.1,Salmonella enterica,0
SAMN14450152,CP050781.1,Salmonella enterica,0
SAMN14450152,CP050782.1,Salmonella enterica,0
SAMN14487893,CP050845.1,Klebsiella pneumoniae,1
SAMN14487893,CP050846.1,Klebsiella pneumoniae,0
SAMN14487893,CP050847.1,Klebsiella pneumoniae,0
SAMN14308892,CP050904.1,Acinetobacter baumannii,3
SAMN14308892,CP050905.1,Acinetobacter baumannii,0
SAMN14308892,CP050906.1,Acinetobacter baumannii,0
SAMN13536106,CP051004.1,Streptococcus agalactiae,1
SAMN13536105,CP051005.1,Enterococcus faecalis,3
SAMN14558572,CP051260.1,Proteus spp,4
SAMN14088120,CP051267.1,Salmonella enterica,4
SAMN14088120,CP051268.1,Salmonella enterica,0
SAMN14589633,CP051290.1,Helicobacter pylori,0
SAMN14589635,CP051291.1,Helicobacter pylori,0
SAMN14504925,CP051310.1,Salmonella enterica,6
SAMN14504925,CP051311.1,Salmonella enterica,0
SAMN14504925,CP051312.1,Salmonella enterica,0
SAMN14504865,CP051332.1,Salmonella enterica,0
SAMN14504865,CP051333.1,Salmonella enterica,0
SAMN14504865,CP051334.1,Salmonella enterica,0
SAMN14504865,CP051335.1,Salmonella enterica,0
SAMN14504865,CP051336.1,Salmonella enterica,0
SAMN14504865,CP051337.1,Salmonella enterica,0
SAMN14504865,CP051338.1,Salmonella enterica,3
SAMN14504865,CP051339.1,Salmonella enterica,0
SAMN14504865,CP051340.1,Salmonella enterica,0
SAMN14504865,CP051341.1,Salmonella enterica,0
SAMN14504852,CP051342.1,Salmonella enterica,6
SAMN14504852,CP051343.1,Salmonella enterica,0
SAMN14504852,CP051344.1,Salmonella enterica,0
SAMN14504852,CP051345.1,Salmonella enterica,0
SAMN14504595,CP051396.1,Salmonella enterica,4
SAMN14504595,CP051397.1,Salmonella enterica,0
SAMN14592743,CP051435.1,Helicobacter pylori,0
SAMN14550524,CP051479.2,Staphylococcus aureus,1
SAMN14590646,CP051490.1,Klebsiella pneumoniae,3
SAMN14590646,CP051491.1,Klebsiella pneumoniae,0
SAMN14590646,CP051492.1,Klebsiella pneumoniae,0
SAMN14593090,CP051494.1,Helicobacter pylori,0
SAMN14593089,CP051495.1,Helicobacter pylori,0
SAMN14593088,CP051496.1,Helicobacter pylori,0
SAMN14593087,CP051497.1,Helicobacter pylori,0
SAMN14593085,CP051499.1,Helicobacter pylori,0
SAMN14593084,CP051500.1,Helicobacter pylori,0
SAMN14593082,CP051502.1,Helicobacter pylori,0
SAMN14593077,CP051507.1,Helicobacter pylori,0
SAMN14593075,CP051509.1,Helicobacter pylori,0
SAMN14593073,CP051511.1,Helicobacter pylori,0
SAMN14593100,CP051533.1,Helicobacter pylori,0
SAMN14593099,CP051534.1,Helicobacter pylori,0
SAMN14593097,CP051536.1,Helicobacter pylori,0
SAMN14593095,CP051537.1,Helicobacter pylori,0
SAMN14593093,CP051539.1,Helicobacter pylori,0
SAMN14593092,CP051540.1,Helicobacter pylori,0
SAMN14594834,CP051615.1,Escherichia coli,4
SAMN14594834,CP051616.1,Escherichia coli,0
SAMN14594834,CP051617.1,Escherichia coli,0
SAMN14594834,CP051618.1,Escherichia coli,0
SAMN14594834,CP051619.1,Escherichia coli,0
SAMN14594834,CP051620.1,Escherichia coli,0
SAMN12822940,CP051657.1,Escherichia coli,0
SAMN12822940,CP051658.1,Escherichia coli,0
SAMN14609783,CP051711.1,Escherichia coli,4
SAMN14609783,CP051712.1,Escherichia coli,0
SAMN14609783,CP051713.1,Escherichia coli,0
SAMN14645746,CP051860.2,Bacillus subtilis,2
SAMN14667371,CP052759.1,Pseudomonas aeruginosa,5
SAMN14667371,CP052760.1,Pseudomonas aeruginosa,0
SAMN14732738,CP052877.1,Escherichia coli,2
SAMN14732738,CP052878.1,Escherichia coli,0
SAMN14732738,CP052879.1,Escherichia coli,0
SAMN14732738,CP052880.1,Escherichia coli,0
SAMN14732738,CP052881.1,Escherichia coli,0
SAMN14677105,CP053027.1,Streptococcus agalactiae,1
SAMN14752945,CP053033.1,Acinetobacter baumannii,0
SAMN14752945,CP053034.1,Acinetobacter baumannii,2
SAMN14770898,CP053035.1,Klebsiella pneumoniae,2
SAMN14770898,CP053036.1,Klebsiella pneumoniae,0
SAMN14770898,CP053037.1,Klebsiella pneumoniae,0
SAMN14770898,CP053038.1,Klebsiella pneumoniae,0
SAMN14770898,CP053039.1,Klebsiella pneumoniae,0
SAMN14770898,CP053040.1,Klebsiella pneumoniae,0
SAMN14770898,CP053041.1,Klebsiella pneumoniae,0
SAMN14604096,CP053042.1,Proteus spp,2
SAMN14604096,CP053043.1,Proteus spp,0
SAMN14604094,CP053044.1,Proteus spp,3
SAMN14645747,CP053102.1,Bacillus subtilis,3
SAMN14863985,CP053286.1,Serratia spp,3
SAMN14894250,CP053371.1,Proteus spp,4
SAMN14894250,CP053372.1,Proteus spp,0
SAMN14894250,CP053373.1,Proteus spp,0
SAMN14859508,CP053378.1,Serratia spp,2
SAMN14859508,CP053379.1,Serratia spp,0
SAMN14859508,CP053380.1,Serratia spp,0
SAMN14820692,CP053396.1,Helicobacter pylori,0
SAMN14820692,CP053397.1,Helicobacter pylori,0
SAMN14852675,CP053398.1,Serratia spp,1
SAMN12560215,CP053572.1,Serratia spp,2
SAMN14896267,CP053614.1,Proteus spp,4
SAMN14938213,CP053615.1,Proteus spp,3
SAMN14938214,CP053616.1,Proteus spp,3
SAMN14375129,CP053636.1,Staphylococcus aureus,1
SAMN14375129,CP053637.1,Staphylococcus aureus,0
SAMN14943921,CP053643.1,Enterobacter spp,2
SAMN14943921,CP053645.1,Enterobacter spp,0
SAMN14943921,CP053646.1,Enterobacter spp,0
SAMN14943921,CP053647.1,Enterobacter spp,0
SAMN14943921,CP053648.1,Enterobacter spp,0
SAMN14944012,CP053659.1,Campylobacter spp,1
SAMN14909661,CP053681.1,Proteus spp,3
SAMN14909848,CP053682.1,Proteus spp,3
SAMN14910118,CP053683.1,Proteus spp,4
SAMN14930506,CP053684.1,Proteus spp,4
SAMN14930855,CP053685.1,Proteus spp,1
SAMN14943915,CP053691.1,Enterobacter spp,2
SAMN14943915,CP053692.1,Enterobacter spp,0
SAMN14943915,CP053693.1,Enterobacter spp,0
SAMN14943915,CP053694.1,Enterobacter spp,0
SAMN14943915,CP053695.1,Enterobacter spp,0
SAMN14943915,CP053696.1,Enterobacter spp,0
SAMN14970707,CP053705.1,Pseudomonas aeruginosa,3
SAMN14916645,CP053718.1,Proteus spp,2
SAMN14937971,CP053719.1,Proteus spp,4
SAMN14944058,CP053744.1,Vibrio cholerae,0
SAMN14944058,CP053745.1,Vibrio cholerae,1
SAMN14944057,CP053794.1,Vibrio cholerae,1
SAMN14944057,CP053795.1,Vibrio cholerae,0
SAMN14944065,CP053796.1,Vibrio cholerae,1
SAMN14944065,CP053797.1,Vibrio cholerae,0
SAMN14944067,CP053798.1,Vibrio cholerae,0
SAMN14944067,CP053799.1,Vibrio cholerae,0
SAMN14944069,CP053800.1,Vibrio cholerae,0
SAMN14944069,CP053801.1,Vibrio cholerae,0
SAMN14944070,CP053802.1,Vibrio cholerae,0
SAMN14944070,CP053803.1,Vibrio cholerae,0
SAMN14944072,CP053804.1,Vibrio cholerae,0
SAMN14944072,CP053805.1,Vibrio cholerae,0
SAMN14944080,CP053806.1,Vibrio cholerae,0
SAMN14944080,CP053807.1,Vibrio cholerae,0
SAMN14944081,CP053808.1,Vibrio cholerae,0
SAMN14944081,CP053809.1,Vibrio cholerae,0
SAMN14944082,CP053810.1,Vibrio cholerae,0
SAMN14944082,CP053811.1,Vibrio cholerae,0
SAMN14944082,CP053812.1,Vibrio cholerae,0
SAMN14944083,CP053813.1,Vibrio cholerae,0
SAMN14944083,CP053814.1,Vibrio cholerae,0
SAMN14944083,CP053815.1,Vibrio cholerae,0
SAMN14944112,CP053816.1,Vibrio cholerae,0
SAMN14944112,CP053817.1,Vibrio cholerae,0
SAMN14944112,CP053818.1,Vibrio cholerae,0
SAMN14944112,CP053819.1,Vibrio cholerae,0
SAMN14944113,CP053820.1,Vibrio cholerae,0
SAMN14944113,CP053821.1,Vibrio cholerae,0
SAMN14944111,CP053822.1,Vibrio cholerae,0
SAMN14944111,CP053823.1,Vibrio cholerae,0
SAMN14944111,CP053824.1,Vibrio cholerae,0
SAMN03329879,CP053886.1,Streptococcus agalactiae,2
SAMN03329869,CP053887.1,Streptococcus agalactiae,1
SAMN03329919,CP053888.1,Streptococcus agalactiae,1
SAMN03329918,CP053889.1,Streptococcus agalactiae,1
SAMN12355421,CP053890.1,Streptococcus agalactiae,0
SAMN12355373,CP053891.1,Streptococcus agalactiae,1
SAMN15002270,CP053894.1,Proteus spp,2
SAMN15002270,CP053895.1,Proteus spp,0
SAMN15002272,CP053898.1,Proteus spp,6
SAMN15002272,CP053899.1,Proteus spp,0
SAMN15002272,CP053900.1,Proteus spp,0
SAMN15002272,CP053901.1,Proteus spp,0
SAMN14999148,CP053925.1,Serratia spp,7
SAMN14998449,CP053926.1,Serratia spp,0
SAMN14998449,CP053927.1,Serratia spp,3
SAMN03329878,CP054054.1,Streptococcus agalactiae,2
SAMN12355400,CP054055.1,Streptococcus agalactiae,0
SAMN14258346,CP054160.3,Serratia spp,2
SAMN15069579,CP054177.1,Bacillus subtilis,1
SAMN15075995,CP054227.1,Escherichia coli,2
SAMN15075995,CP054228.1,Escherichia coli,0
SAMN15075995,CP054229.1,Escherichia coli,0
SAMN15078591,CP054277.1,Serratia spp,1
SAMN15086848,CP054278.1,Citrobacter spp,5
SAMN15086848,CP054279.1,Citrobacter spp,0
SAMN15086848,CP054280.1,Citrobacter spp,0
SAMN15086848,CP054281.1,Citrobacter spp,0
SAMN15086847,CP054285.1,Klebsiella pneumoniae,2
SAMN15086847,CP054286.1,Klebsiella pneumoniae,0
SAMN15086847,CP054287.1,Klebsiella pneumoniae,0
SAMN15086847,CP054288.1,Klebsiella pneumoniae,0
SAMN15086845,CP054294.1,Citrobacter spp,4
SAMN15086845,CP054295.1,Citrobacter spp,0
SAMN15086845,CP054296.1,Citrobacter spp,0
SAMN15086845,CP054297.1,Citrobacter spp,0
SAMN15086845,CP054299.1,Citrobacter spp,0
SAMN15086845,CP054300.1,Citrobacter spp,0
SAMN12437586,CP054407.1,Escherichia coli,6
SAMN12437586,CP054408.1,Escherichia coli,0
SAMN11514785,CP054409.1,Enterobacter spp,0
SAMN11514785,CP054410.1,Enterobacter spp,8
SAMN15186443,CP054744.1,Klebsiella pneumoniae,5
SAMN15186443,CP054745.1,Klebsiella pneumoniae,0
SAMN15186443,CP054746.1,Klebsiella pneumoniae,0
SAMN15186443,CP054747.1,Klebsiella pneumoniae,0
SAMN15186443,CP054748.1,Klebsiella pneumoniae,0
SAMN15186443,CP054749.1,Klebsiella pneumoniae,0
SAMN15196026,CP054793.1,Pseudomonas aeruginosa,0
SAMN15214164,CP054844.1,Pseudomonas aeruginosa,6
SAMN13155204,CP054940.1,Escherichia coli,4
SAMN13155204,CP054941.1,Escherichia coli,0
SAMN13155204,CP054942.1,Escherichia coli,0
SAMN13155204,CP054943.1,Escherichia coli,0
SAMN13155204,CP054944.1,Escherichia coli,0
SAMN13925547,CP054984.1,Klebsiella pneumoniae,2
SAMN13925547,CP054985.1,Klebsiella pneumoniae,0
SAMN13925547,CP054986.1,Klebsiella pneumoniae,0
SAMN13925547,CP054987.1,Klebsiella pneumoniae,0
SAMN13925547,CP054988.1,Klebsiella pneumoniae,0
SAMN13925547,CP054989.1,Klebsiella pneumoniae,0
SAMN13925540,CP055009.1,Proteus spp,2
SAMN13925601,CP055095.1,Proteus spp,2
SAMN15239172,CP055225.1,Staphylococcus aureus,2
SAMN15239172,CP055226.1,Staphylococcus aureus,0
SAMN14235217,CP055246.1,Streptococcus pyogenes,1
SAMN13737474,CP055247.1,Citrobacter spp,3
SAMN13737474,CP055248.1,Citrobacter spp,0
SAMN13737474,CP055249.1,Citrobacter spp,0
SAMN13737474,CP055250.1,Citrobacter spp,0
SAMN15148721,CP055421.1,Citrobacter spp,3
SAMN15148721,CP055422.1,Citrobacter spp,0
SAMN15148721,CP055423.1,Citrobacter spp,0
SAMN15148721,CP055424.1,Citrobacter spp,0
SAMN15148721,CP055425.1,Citrobacter spp,0
SAMN15148477,CP055588.1,Citrobacter spp,4
SAMN15148477,CP055589.1,Citrobacter spp,0
SAMN15148477,CP055590.1,Citrobacter spp,0
SAMN15148477,CP055591.1,Citrobacter spp,0
SAMN15148477,CP055592.1,Citrobacter spp,0
SAMN15148743,CP056132.1,Enterobacter spp,3
SAMN15148743,CP056133.1,Enterobacter spp,0
SAMN15148743,CP056134.1,Enterobacter spp,0
SAMN15148743,CP056135.1,Enterobacter spp,0
SAMN15148768,CP056181.1,Citrobacter spp,4
SAMN15148768,CP056182.1,Citrobacter spp,0
SAMN15148768,CP056183.1,Citrobacter spp,0
SAMN15148768,CP056184.1,Citrobacter spp,0
SAMN15148761,CP056208.1,Citrobacter spp,2
SAMN15148761,CP056209.1,Citrobacter spp,0
SAMN15148761,CP056210.1,Citrobacter spp,0
SAMN15148761,CP056211.1,Citrobacter spp,0
SAMN15148761,CP056212.1,Citrobacter spp,0
SAMN15148761,CP056213.1,Citrobacter spp,0
SAMN15148761,CP056214.1,Citrobacter spp,0
SAMN15148761,CP056215.1,Citrobacter spp,0
SAMN15148753,CP056232.1,Citrobacter spp,3
SAMN15148753,CP056233.1,Citrobacter spp,0
SAMN15148753,CP056234.1,Citrobacter spp,0
SAMN15148750,CP056235.1,Citrobacter spp,3
SAMN15148750,CP056236.1,Citrobacter spp,0
SAMN15148747,CP056238.1,Citrobacter spp,5
SAMN15148747,CP056239.1,Citrobacter spp,0
SAMN15148747,CP056240.1,Citrobacter spp,0
SAMN15148747,CP056241.1,Citrobacter spp,0
SAMN15148742,CP056245.1,Citrobacter spp,4
SAMN15148742,CP056246.1,Citrobacter spp,0
SAMN15148742,CP056247.1,Citrobacter spp,0
SAMN15148736,CP056256.1,Citrobacter spp,5
SAMN15148736,CP056257.1,Citrobacter spp,0
SAMN15148736,CP056258.1,Citrobacter spp,0
SAMN15148736,CP056259.1,Citrobacter spp,0
SAMN15148707,CP056314.1,Citrobacter spp,4
SAMN15148687,CP056336.1,Citrobacter spp,4
SAMN15148687,CP056337.1,Citrobacter spp,0
SAMN15148687,CP056338.1,Citrobacter spp,0
SAMN15148687,CP056339.1,Citrobacter spp,0
SAMN15148687,CP056340.1,Citrobacter spp,0
SAMN15148674,CP056365.1,Citrobacter spp,3
SAMN15148674,CP056366.1,Citrobacter spp,0
SAMN15148674,CP056367.1,Citrobacter spp,0
SAMN15148674,CP056368.1,Citrobacter spp,0
SAMN15148674,CP056369.1,Citrobacter spp,0
SAMN15148670,CP056372.1,Klebsiella pneumoniae,4
SAMN15148670,CP056373.1,Klebsiella pneumoniae,0
SAMN15148670,CP056374.1,Klebsiella pneumoniae,0
SAMN15148670,CP056375.1,Klebsiella pneumoniae,0
SAMN15148670,CP056376.1,Klebsiella pneumoniae,0
SAMN15148670,CP056377.1,Klebsiella pneumoniae,0
SAMN15148670,CP056378.1,Klebsiella pneumoniae,0
SAMN15148670,CP056379.1,Klebsiella pneumoniae,0
SAMN15148670,CP056380.1,Klebsiella pneumoniae,0
SAMN15148638,CP056451.1,Citrobacter spp,4
SAMN15148631,CP056466.1,Citrobacter spp,4
SAMN15148631,CP056468.1,Citrobacter spp,0
SAMN15148631,CP056469.1,Citrobacter spp,0
SAMN15148618,CP056505.1,Citrobacter spp,6
SAMN15148618,CP056506.1,Citrobacter spp,0
SAMN15148618,CP056507.1,Citrobacter spp,0
SAMN15148611,CP056527.1,Citrobacter spp,3
SAMN15148611,CP056528.1,Citrobacter spp,0
SAMN15148611,CP056529.1,Citrobacter spp,0
SAMN15148595,CP056573.1,Citrobacter spp,6
SAMN15148595,CP056574.1,Citrobacter spp,0
SAMN15148595,CP056575.1,Citrobacter spp,0
SAMN15148595,CP056576.1,Citrobacter spp,0
SAMN15148595,CP056577.1,Citrobacter spp,0
SAMN15148588,CP056592.1,Citrobacter spp,4
SAMN15148588,CP056593.1,Citrobacter spp,0
SAMN15148584,CP056595.1,Citrobacter spp,2
SAMN15148584,CP056596.1,Citrobacter spp,0
SAMN15148568,CP056622.1,Citrobacter spp,4
SAMN15148568,CP056624.1,Citrobacter spp,0
SAMN15148564,CP056635.1,Citrobacter spp,7
SAMN15148564,CP056636.1,Citrobacter spp,0
SAMN15148564,CP056638.1,Citrobacter spp,0
SAMN15148564,CP056639.1,Citrobacter spp,0
SAMN15148564,CP056640.1,Citrobacter spp,0
SAMN15148564,CP056641.1,Citrobacter spp,0
SAMN15148543,CP056653.1,Citrobacter spp,5
SAMN15148543,CP056654.1,Citrobacter spp,0
SAMN15148671,CP056676.1,Enterobacter spp,8
SAMN15148671,CP056677.1,Enterobacter spp,0
SAMN15148671,CP056678.1,Enterobacter spp,0
SAMN15148671,CP056679.1,Enterobacter spp,0
SAMN15148671,CP056680.1,Enterobacter spp,0
SAMN15148666,CP056691.1,Enterobacter spp,9
SAMN15148666,CP056692.1,Enterobacter spp,0
SAMN15148666,CP056693.1,Enterobacter spp,0
SAMN15148666,CP056694.1,Enterobacter spp,0
SAMN15148666,CP056695.1,Enterobacter spp,0
SAMN15148666,CP056696.1,Enterobacter spp,0
SAMN15148653,CP056707.1,Enterobacter spp,3
SAMN15148653,CP056708.1,Enterobacter spp,0
SAMN15148653,CP056709.1,Enterobacter spp,0
SAMN15148653,CP056710.1,Enterobacter spp,0
SAMN15148580,CP056719.1,Enterobacter spp,9
SAMN15148580,CP056720.1,Enterobacter spp,0
SAMN15148580,CP056721.1,Enterobacter spp,0
SAMN15148580,CP056722.1,Enterobacter spp,0
SAMN15148580,CP056723.1,Enterobacter spp,0
SAMN15148580,CP056724.1,Enterobacter spp,0
SAMN15148580,CP056725.1,Enterobacter spp,0
SAMN15148580,CP056726.1,Enterobacter spp,0
SAMN15148572,CP056727.1,Enterobacter spp,5
SAMN15148572,CP056728.1,Enterobacter spp,0
SAMN15148572,CP056729.1,Enterobacter spp,0
SAMN15148572,CP056730.1,Enterobacter spp,0
SAMN15148572,CP056731.1,Enterobacter spp,0
SAMN15148572,CP056732.1,Enterobacter spp,0
SAMN15148572,CP056734.1,Enterobacter spp,0
SAMN15148572,CP056735.1,Enterobacter spp,0
SAMN15148572,CP056736.1,Enterobacter spp,0
SAMN15148549,CP056742.1,Enterobacter spp,4
SAMN15148549,CP056743.1,Enterobacter spp,0
SAMN15148549,CP056744.1,Enterobacter spp,0
SAMN15148549,CP056745.1,Enterobacter spp,0
SAMN15148549,CP056746.1,Enterobacter spp,0
SAMN15148546,CP056747.1,Enterobacter spp,1
SAMN15148546,CP056748.1,Enterobacter spp,0
SAMN15148546,CP056749.1,Enterobacter spp,0
SAMN15148546,CP056750.1,Enterobacter spp,0
SAMN15148545,CP056751.1,Enterobacter spp,4
SAMN15148545,CP056752.1,Enterobacter spp,0
SAMN15148545,CP056753.1,Enterobacter spp,0
SAMN15148545,CP056754.1,Enterobacter spp,0
SAMN15148545,CP056755.1,Enterobacter spp,0
SAMN15344688,CP056784.2,Acinetobacter baumannii,2
SAMN15344688,CP056785.1,Acinetobacter baumannii,0
SAMN15148520,CP056809.1,Citrobacter spp,3
SAMN15148506,CP056827.1,Citrobacter spp,3
SAMN15148506,CP056828.1,Citrobacter spp,0
SAMN15148506,CP056829.1,Citrobacter spp,0
SAMN15148502,CP056830.1,Klebsiella pneumoniae,3
SAMN15148502,CP056831.1,Klebsiella pneumoniae,0
SAMN15148502,CP056832.1,Klebsiella pneumoniae,0
SAMN15148502,CP056833.1,Klebsiella pneumoniae,0
SAMN15148500,CP056839.1,Citrobacter spp,5
SAMN15148500,CP056840.1,Citrobacter spp,0
SAMN15148500,CP056841.1,Citrobacter spp,0
SAMN15148495,CP056852.1,Citrobacter spp,4
SAMN15148495,CP056853.1,Citrobacter spp,1
SAMN15148492,CP056854.1,Klebsiella pneumoniae,2
SAMN15148492,CP056855.1,Klebsiella pneumoniae,0
SAMN15148492,CP056856.1,Klebsiella pneumoniae,0
SAMN15148492,CP056857.1,Klebsiella pneumoniae,0
SAMN15148492,CP056858.1,Klebsiella pneumoniae,0
SAMN15148492,CP056859.1,Klebsiella pneumoniae,0
SAMN15148492,CP056860.1,Klebsiella pneumoniae,0
SAMN15148140,CP057722.1,Klebsiella pneumoniae,1
SAMN15148140,CP057723.1,Klebsiella pneumoniae,0
SAMN15148140,CP057724.1,Klebsiella pneumoniae,0
SAMN15148085,CP057864.1,Citrobacter spp,2
SAMN15148085,CP057865.1,Citrobacter spp,0
SAMN15148505,CP058146.1,Enterobacter spp,7
SAMN15148505,CP058147.1,Enterobacter spp,0
SAMN15148505,CP058148.1,Enterobacter spp,0
SAMN15148493,CP058149.1,Enterobacter spp,5
SAMN15148493,CP058150.1,Enterobacter spp,0
SAMN15148493,CP058151.1,Enterobacter spp,0
SAMN15148493,CP058152.1,Enterobacter spp,0
SAMN15148488,CP058153.1,Enterobacter spp,3
SAMN15148488,CP058154.1,Enterobacter spp,0
SAMN15148488,CP058155.1,Enterobacter spp,0
SAMN15148488,CP058156.1,Enterobacter spp,0
SAMN15148478,CP058157.1,Enterobacter spp,3
SAMN15148478,CP058158.1,Enterobacter spp,0
SAMN15148478,CP058159.1,Enterobacter spp,0
SAMN15148476,CP058160.1,Enterobacter spp,3
SAMN15148476,CP058161.1,Enterobacter spp,0
SAMN15148476,CP058162.1,Enterobacter spp,0
SAMN15148476,CP058163.1,Enterobacter spp,0
SAMN15148471,CP058164.1,Enterobacter spp,2
SAMN15148471,CP058165.1,Enterobacter spp,1
SAMN15148471,CP058166.1,Enterobacter spp,0
SAMN15148453,CP058187.1,Enterobacter spp,4
SAMN15148453,CP058188.1,Enterobacter spp,0
SAMN15148453,CP058189.1,Enterobacter spp,1
SAMN15148453,CP058190.1,Enterobacter spp,0
SAMN15338960,CP058250.1,Helicobacter pylori,0
SAMN15339009,CP058251.1,Helicobacter pylori,0
SAMN15339008,CP058252.1,Helicobacter pylori,0
SAMN15339005,CP058281.1,Helicobacter pylori,0
SAMN15394190,CP058318.1,Citrobacter spp,8
SAMN15394190,CP058319.1,Citrobacter spp,0
SAMN15375773,CP058353.1,Serratia spp,3
SAMN15402796,CP058563.1,Enterococcus faecalis,2
SAMN15402796,CP058564.1,Enterococcus faecalis,0
SAMN15402796,CP058565.1,Enterococcus faecalis,0
SAMN15246708,CP058666.1,Streptococcus agalactiae,1
SAMN15486631,CP058891.1,Enterococcus faecium,2
SAMN15486631,CP058892.1,Enterococcus faecium,0
SAMN15486631,CP058893.1,Enterococcus faecium,0
SAMN15486631,CP058894.1,Enterococcus faecium,0
SAMN15486631,CP058895.1,Enterococcus faecium,0
