accession	seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
CP044436	ENA|CP044436|CP044436.1|provirus_3004681_3049136	44456	Provirus	3004681-3049136	71	11	0.9754	NA	14	62.7660	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044436	ENA|CP044436|CP044436.1|provirus_2680407_2719805	39399	Provirus	2680407-2719805	57	11	0.9624	NA	12	59.4859	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044436	ENA|CP044436|CP044436.1|provirus_1106947_1154202	47256	Provirus	1106947-1154202	70	11	0.9581	NA	16	59.1729	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044436	ENA|CP044436|CP044436.1|provirus_2219291_2266907	47617	Provirus	2219291-2266907	60	11	0.9571	NA	8	48.5504	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044436	ENA|CP044436|CP044436.1|provirus_1485942_1497509	11568	Provirus	1485942-1497509	17	11	0.9484	NA	5	16.5404	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044436	ENA|CP044436|CP044436.1|provirus_1577102_1617345	40244	Provirus	1577102-1617345	46	11	0.9462	NA	15	49.7708	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044436	ENA|CP044436|CP044436.1|provirus_2456923_2487927	31005	Provirus	2456923-2487927	27	11	0.9046	NA	4	24.6028	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044436	ENA|CP044436|CP044436.1|provirus_1843497_1856984	13488	Provirus	1843497-1856984	15	11	0.8503	NA	1	9.6929	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044437	ENA|CP044437|CP044437.1|provirus_3004681_3049136	44456	Provirus	3004681-3049136	71	11	0.9754	NA	14	62.7660	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044437	ENA|CP044437|CP044437.1|provirus_2680407_2719805	39399	Provirus	2680407-2719805	57	11	0.9624	NA	12	59.4859	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044437	ENA|CP044437|CP044437.1|provirus_1106947_1154202	47256	Provirus	1106947-1154202	70	11	0.9581	NA	16	59.1729	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044437	ENA|CP044437|CP044437.1|provirus_2219291_2266907	47617	Provirus	2219291-2266907	60	11	0.9571	NA	8	48.5504	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044437	ENA|CP044437|CP044437.1|provirus_1485942_1497509	11568	Provirus	1485942-1497509	17	11	0.9484	NA	5	16.5404	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044437	ENA|CP044437|CP044437.1|provirus_1577102_1617345	40244	Provirus	1577102-1617345	46	11	0.9462	NA	15	49.7708	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044437	ENA|CP044437|CP044437.1|provirus_2456923_2487927	31005	Provirus	2456923-2487927	27	11	0.9046	NA	4	24.6028	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044437	ENA|CP044437|CP044437.1|provirus_1843497_1856984	13488	Provirus	1843497-1856984	15	11	0.8503	NA	1	9.6929	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044497	ENA|CP044497|CP044497.1|provirus_660605_709149	48545	Provirus	660605-709149	70	11	0.9692	NA	17	83.8626	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP044497	ENA|CP044497|CP044497.1|provirus_1415243_1439595	24353	Provirus	1415243-1439595	36	11	0.9603	NA	9	37.6187	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045008	ENA|CP045008|CP045008.1|provirus_1333429_1383858	50430	Provirus	1333429-1383858	85	11	0.9799	NA	19	86.6500	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045008	ENA|CP045008|CP045008.1|provirus_1519443_1569616	50174	Provirus	1519443-1569616	86	11	0.9734	NA	18	79.5431	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045008	ENA|CP045008|CP045008.1|provirus_3738238_3782605	44368	Provirus	3738238-3782605	60	11	0.9608	NA	18	53.5339	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045008	ENA|CP045008|CP045008.1|provirus_2289378_2336326	46949	Provirus	2289378-2336326	58	11	0.9557	NA	9	49.6753	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045008	ENA|CP045008|CP045008.1|provirus_1409165_1451099	41935	Provirus	1409165-1451099	60	11	0.9548	NA	15	53.7186	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045008	ENA|CP045008|CP045008.1|provirus_3037598_3081719	44122	Provirus	3037598-3081719	58	11	0.9531	NA	18	57.2676	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045008	ENA|CP045008|CP045008.1|provirus_2546179_2562535	16357	Provirus	2546179-2562535	21	11	0.9148	NA	5	26.6241	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045008	ENA|CP045008|CP045008.1|provirus_1614567_1667631	53065	Provirus	1614567-1667631	70	11	0.9035	NA	19	53.7389	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045110	ENA|CP045110|CP045110.1|provirus_1335767_1377688	41922	Provirus	1335767-1377688	60	11	0.9697	NA	11	65.9821	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045110	ENA|CP045110|CP045110.1|provirus_2761519_2810280	48762	Provirus	2761519-2810280	77	11	0.9688	NA	11	78.7085	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045110	ENA|CP045110|CP045110.1|provirus_1459518_1506608	47091	Provirus	1459518-1506608	55	11	0.9646	NA	6	53.3438	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045110	ENA|CP045110|CP045110.1|provirus_1123236_1188601	65366	Provirus	1123236-1188601	81	11	0.9390	NA	11	67.3789	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045193	ENA|CP045193|CP045193.1|provirus_1277030_1320500	43471	Provirus	1277030-1320500	56	11	0.9783	NA	9	64.8543	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045193	ENA|CP045193|CP045193.1|provirus_3201960_3300858	98899	Provirus	3201960-3300858	121	11	0.9722	NA	37	126.3229	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045193	ENA|CP045193|CP045193.1|provirus_3140396_3181930	41535	Provirus	3140396-3181930	45	11	0.9621	NA	15	42.0659	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045257	ENA|CP045257|CP045257.1|provirus_2925036_3000870	75835	Provirus	2925036-3000870	116	11	0.9739	NA	18	106.1668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045257	ENA|CP045257|CP045257.1|provirus_1096418_1142595	46178	Provirus	1096418-1142595	79	11	0.9664	NA	15	70.1800	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045257	ENA|CP045257|CP045257.1|provirus_2214738_2261265	46528	Provirus	2214738-2261265	62	11	0.9653	NA	9	56.8186	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045257	ENA|CP045257|CP045257.1|provirus_1599034_1636983	37950	Provirus	1599034-1636983	52	11	0.9497	NA	17	50.8223	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045257	ENA|CP045257|CP045257.1|provirus_1284255_1324039	39785	Provirus	1284255-1324039	63	11	0.9326	NA	13	49.2365	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045257	ENA|CP045257|CP045257.1|provirus_2444179_2475113	30935	Provirus	2444179-2475113	27	11	0.9256	NA	5	25.6711	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045451	ENA|CP045451|CP045451.1|provirus_1982282_2034970	52689	Provirus	1982282-2034970	64	11	0.9730	NA	18	68.1845	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045465	ENA|CP045465|CP045465.1|provirus_3347143_3375780	28638	Provirus	3347143-3375780	32	11	0.9770	NA	13	46.1045	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045465	ENA|CP045465|CP045465.1|provirus_3972261_4013758	41498	Provirus	3972261-4013758	61	11	0.9752	NA	21	74.2896	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045465	ENA|CP045465|CP045465.1|provirus_3264915_3310366	45452	Provirus	3264915-3310366	51	11	0.9708	NA	23	55.3489	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045465	ENA|CP045465|CP045465.1|provirus_4206291_4213874	7584	Provirus	4206291-4213874	12	11	0.9662	NA	3	12.5766	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045465	ENA|CP045465|CP045465.1|provirus_29788_81816	52029	Provirus	29788-81816	66	11	0.9642	NA	19	68.8105	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045465	ENA|CP045465|CP045465.1|provirus_1740583_1761612	21030	Provirus	1740583-1761612	24	11	0.9548	NA	12	25.8565	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045478	ENA|CP045478|CP045478.1|provirus_2154171_2191189	37019	Provirus	2154171-2191189	52	11	0.9664	NA	17	56.8390	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045478	ENA|CP045478|CP045478.1|provirus_3506125_3534167	28043	Provirus	3506125-3534167	37	11	0.9498	NA	16	43.6992	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045478	ENA|CP045478|CP045478.1|provirus_2571083_2706568	135486	Provirus	2571083-2706568	195	11	0.9348	NA	9	153.4925	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045479	ENA|CP045479|CP045479.1	84215	No terminal repeats	NA	100	11	0.9385	NA	15	73.0733	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045509	ENA|CP045509|CP045509.1|provirus_4033880_4041463	7584	Provirus	4033880-4041463	12	11	0.9665	NA	3	12.5766	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045509	ENA|CP045509|CP045509.1|provirus_1704175_1725205	21031	Provirus	1704175-1725205	24	11	0.9558	NA	12	25.8565	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045538	ENA|CP045538|CP045538.2|provirus_66935_97054	30120	Provirus	66935-97054	43	11	0.9693	NA	18	46.4357	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045538	ENA|CP045538|CP045538.2|provirus_1495854_1535882	40029	Provirus	1495854-1535882	57	11	0.9684	NA	13	77.6282	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045538	ENA|CP045538|CP045538.2|provirus_2980550_3051438	70889	Provirus	2980550-3051438	108	11	0.9670	NA	20	82.6827	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045538	ENA|CP045538|CP045538.2|provirus_2671267_2726344	55078	Provirus	2671267-2726344	72	11	0.9473	NA	16	66.5635	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045538	ENA|CP045538|CP045538.2|provirus_1619748_1661832	42085	Provirus	1619748-1661832	55	11	0.9218	NA	17	55.2667	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045538	ENA|CP045538|CP045538.2|provirus_2446964_2478851	31888	Provirus	2446964-2478851	29	11	0.8989	NA	6	26.7842	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045602	ENA|CP045602|CP045602.1|provirus_1977306_2017543	40238	Provirus	1977306-2017543	61	11	0.9764	NA	14	76.2757	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045602	ENA|CP045602|CP045602.1|provirus_1028662_1056121	27460	Provirus	1028662-1056121	35	11	0.9489	NA	10	39.0959	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045718	ENA|CP045718|CP045718.1|provirus_1002145_1047149	45005	Provirus	1002145-1047149	54	11	0.9560	NA	13	59.2775	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045719	ENA|CP045719|CP045719.1|provirus_767092_801187	34096	Provirus	767092-801187	54	11	0.9736	NA	19	58.2423	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045719	ENA|CP045719|CP045719.1|provirus_692526_725145	32620	Provirus	692526-725145	52	11	0.9734	NA	19	56.5475	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045719	ENA|CP045719|CP045719.1|provirus_1117639_1139848	22210	Provirus	1117639-1139848	32	11	0.9395	NA	10	21.2528	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
CP045719	ENA|CP045719|CP045719.1|provirus_1490945_1503166	12222	Provirus	1490945-1503166	20	11	0.9303	NA	2	11.6137	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045726	ENA|CP045726|CP045726.1|provirus_4683274_4714413	31140	Provirus	4683274-4714413	41	11	0.9773	NA	17	49.9881	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045726	ENA|CP045726|CP045726.1|provirus_643499_675765	32267	Provirus	643499-675765	40	11	0.9759	NA	16	54.5007	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045726	ENA|CP045726|CP045726.1|provirus_2045067_2086876	41810	Provirus	2045067-2086876	57	11	0.9738	NA	21	68.5106	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045726	ENA|CP045726|CP045726.1|provirus_2855523_2909486	53964	Provirus	2855523-2909486	60	11	0.9484	NA	18	47.9217	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045768	ENA|CP045768|CP045768.1|provirus_3822058_3858710	36653	Provirus	3822058-3858710	48	11	0.9723	NA	20	50.3709	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045768	ENA|CP045768|CP045768.1|provirus_4371138_4381094	9957	Provirus	4371138-4381094	15	11	0.9512	NA	1	11.2732	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
CP045768	ENA|CP045768|CP045768.1|provirus_3322476_3334306	11831	Provirus	3322476-3334306	16	11	0.9124	NA	2	10.7362	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
CP045768	ENA|CP045768|CP045768.1|provirus_6115641_6134114	18474	Provirus	6115641-6134114	26	11	0.8942	NA	14	32.7556	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045812	ENA|CP045812|CP045812.1|provirus_2663136_2700154	37019	Provirus	2663136-2700154	52	11	0.9675	NA	17	56.8390	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045812	ENA|CP045812|CP045812.1|provirus_2147758_2283243	135486	Provirus	2147758-2283243	196	11	0.9420	NA	9	155.2108	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045812	ENA|CP045812|CP045812.1|provirus_1320160_1348202	28043	Provirus	1320160-1348202	37	11	0.9331	NA	16	43.6992	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045813	ENA|CP045813|CP045813.1	84215	No terminal repeats	NA	99	11	0.9469	NA	15	71.3659	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045819	ENA|CP045819|CP045819.1|provirus_2539377_2579160	39784	Provirus	2539377-2579160	55	11	0.9672	NA	17	52.5174	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045819	ENA|CP045819|CP045819.1|provirus_1308819_1338327	29509	Provirus	1308819-1338327	37	11	0.9488	NA	16	43.6985	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045819	ENA|CP045819|CP045819.1|provirus_1866303_1883193	16891	Provirus	1866303-1883193	23	11	0.9225	NA	2	8.7444	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045820	ENA|CP045820|CP045820.1|provirus_2698061_2737055	38995	Provirus	2698061-2737055	54	11	0.9675	NA	17	52.5174	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045820	ENA|CP045820|CP045820.1|provirus_2052590_2105652	53063	Provirus	2052590-2105652	85	11	0.9461	NA	12	46.4560	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045820	ENA|CP045820|CP045820.1|provirus_1290619_1319722	29104	Provirus	1290619-1319722	37	11	0.9458	NA	16	43.6985	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045820	ENA|CP045820|CP045820.1|provirus_2175861_2305660	129800	Provirus	2175861-2305660	179	11	0.9409	NA	7	130.9204	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045820	ENA|CP045820|CP045820.1|provirus_1847702_1858548	10847	Provirus	1847702-1858548	18	11	0.8720	NA	2	7.2694	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045821	ENA|CP045821|CP045821.1|provirus_2644374_2681392	37019	Provirus	2644374-2681392	52	11	0.9672	NA	17	56.8390	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045821	ENA|CP045821|CP045821.1|provirus_2127252_2264526	137275	Provirus	2127252-2264526	198	11	0.9363	NA	9	155.2108	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045821	ENA|CP045821|CP045821.1|provirus_1299655_1327697	28043	Provirus	1299655-1327697	37	11	0.9331	NA	16	43.6992	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045822	ENA|CP045822|CP045822.1	84033	No terminal repeats	NA	97	11	0.9417	NA	15	70.5318	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045823	ENA|CP045823|CP045823.1|provirus_2655380_2694332	38953	Provirus	2655380-2694332	54	11	0.9680	NA	17	52.5174	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045823	ENA|CP045823|CP045823.1|provirus_1290607_1319791	29185	Provirus	1290607-1319791	37	11	0.9485	NA	16	43.6985	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045823	ENA|CP045823|CP045823.1|provirus_2133180_2262979	129800	Provirus	2133180-2262979	179	11	0.9409	NA	7	130.9204	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045823	ENA|CP045823|CP045823.1|provirus_1847771_1863329	15559	Provirus	1847771-1863329	23	11	0.8946	NA	2	8.7444	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045824	ENA|CP045824|CP045824.1|provirus_2666358_2702388	36031	Provirus	2666358-2702388	50	11	0.9731	NA	17	54.1724	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045824	ENA|CP045824|CP045824.1|provirus_1300679_1330115	29437	Provirus	1300679-1330115	37	11	0.9471	NA	16	43.0363	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045824	ENA|CP045824|CP045824.1|provirus_2137912_2271592	133681	Provirus	2137912-2271592	193	11	0.9441	NA	7	148.5857	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045824	ENA|CP045824|CP045824.1|provirus_1858205_1874096	15892	Provirus	1858205-1874096	23	11	0.9111	NA	2	8.7444	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045826	ENA|CP045826|CP045826.1|provirus_2602622_2638651	36030	Provirus	2602622-2638651	50	11	0.9742	NA	17	54.1724	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045826	ENA|CP045826|CP045826.1|provirus_165534_214149	48616	Provirus	165534-214149	70	11	0.9587	NA	18	74.8967	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045826	ENA|CP045826|CP045826.1|provirus_1399394_1428579	29186	Provirus	1399394-1428579	37	11	0.9484	NA	16	43.6985	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045826	ENA|CP045826|CP045826.1|provirus_1308985_1342001	33017	Provirus	1308985-1342001	37	11	0.9353	NA	4	21.6914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045826	ENA|CP045826|CP045826.1|provirus_1956555_1972617	16063	Provirus	1956555-1972617	23	11	0.9208	NA	2	8.7444	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045832	ENA|CP045832|CP045832.1|provirus_1236743_1282620	45878	Provirus	1236743-1282620	66	11	0.9502	NA	11	56.2184	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045832	ENA|CP045832|CP045832.1|provirus_635881_680934	45054	Provirus	635881-680934	59	11	0.9117	NA	6	49.1967	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045832	ENA|CP045832|CP045832.1|provirus_1537219_1558210	20992	Provirus	1537219-1558210	35	11	0.8648	NA	4	21.9398	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
CP045832	ENA|CP045832|CP045832.1|provirus_993623_1010469	16847	Provirus	993623-1010469	18	11	0.8554	NA	2	12.3817	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045922	ENA|CP045922|CP045922.1|provirus_2663136_2700154	37019	Provirus	2663136-2700154	52	11	0.9675	NA	17	56.8390	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045922	ENA|CP045922|CP045922.1|provirus_2147758_2283243	135486	Provirus	2147758-2283243	196	11	0.9420	NA	9	155.2108	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045922	ENA|CP045922|CP045922.1|provirus_1320160_1348202	28043	Provirus	1320160-1348202	37	11	0.9331	NA	16	43.6992	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045923	ENA|CP045923|CP045923.1	84215	No terminal repeats	NA	99	11	0.9468	NA	15	71.3659	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045930	ENA|CP045930|CP045930.1|provirus_531872_557026	25155	Provirus	531872-557026	34	11	0.9804	NA	3	43.7320	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045947	ENA|CP045947|CP045947.1|provirus_1246560_1296336	49777	Provirus	1246560-1296336	57	11	0.9777	NA	22	69.6991	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045947	ENA|CP045947|CP045947.1|provirus_1938205_1980156	41952	Provirus	1938205-1980156	61	11	0.9768	NA	20	76.9762	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045947	ENA|CP045947|CP045947.1|provirus_2918718_2957770	39053	Provirus	2918718-2957770	48	11	0.9694	NA	12	48.8819	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045947	ENA|CP045947|CP045947.1|provirus_4571637_4592056	20420	Provirus	4571637-4592056	24	11	0.9665	NA	11	28.2780	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045947	ENA|CP045947|CP045947.1|provirus_4501324_4544726	43403	Provirus	4501324-4544726	62	11	0.9655	NA	24	73.7664	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045947	ENA|CP045947|CP045947.1|provirus_1678037_1692173	14137	Provirus	1678037-1692173	14	11	0.9509	NA	4	11.3489	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045947	ENA|CP045947|CP045947.1|provirus_2094571_2100712	6142	Provirus	2094571-2100712	9	11	0.9147	NA	2	8.6573	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP045960	ENA|CP045960|CP045960.1|provirus_686534_727847	41314	Provirus	686534-727847	65	11	0.9504	NA	13	75.3841	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045960	ENA|CP045960|CP045960.1|provirus_617286_623263	5978	Provirus	617286-623263	14	11	0.9252	NA	1	17.7165	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP045961	ENA|CP045961|CP045961.1|provirus_770597_799434	28838	Provirus	770597-799434	53	11	0.9427	NA	8	40.5128	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
