accession	seq_name	amidase_count	lysozyme_count	total_count
AP014649.1_virus_genes.tsv	ENA|AP014649|AP014649.1|provirus_1033851_1077284	0	1	1
CP113165.1_virus_genes.tsv	ENA|CP113165|CP113165.1|provirus_1518025_1557776	1	0	1
CP056853.1_virus_genes.tsv	ENA|CP056853|CP056853.1|provirus_129031_162443	0	0	0
CP160815.1_virus_genes.tsv	ENA|CP160815|CP160815.1|provirus_1888731_1926347	1	1	2
CP038284.1_virus_genes.tsv	ENA|CP038284|CP038284.1|provirus_1222303_1241938	1	1	2
CM129942.1_virus_genes.tsv	ENA|CM129942|CM129942.1|provirus_1056523_1096583	0	1	1
AP027424.1_virus_genes.tsv	ENA|AP027424|AP027424.1|provirus_3006471_3042254	1	1	2
CP191236.1_virus_genes.tsv	ENA|CP191236|CP191236.1|provirus_1597804_1650031	1	0	1
AP018778.1_virus_genes.tsv	ENA|AP018778|AP018778.1|provirus_1294279_1332644	2	1	3
JBRUST000000000_virus_genes.tsv	ENA|JBRUST010000002|JBRUST010000002.1|provirus_610286_650809	0	1	1
CP116387.1_virus_genes.tsv	ENA|CP116387|CP116387.1|provirus_1391545_1428245	1	0	1
CP059422.1_virus_genes.tsv	ENA|CP059422|CP059422.1|provirus_1179579_1231357	1	1	2
CP051260.1_virus_genes.tsv	ENA|CP051260|CP051260.1|provirus_1889804_1903291	0	0	0
CP017719.1_virus_genes.tsv	ENA|CP017719|CP017719.1|provirus_4384953_4405982	0	0	0
CP011303.1_virus_genes.tsv	ENA|CP011303|CP011303.1|provirus_960130_1011029	1	1	2
AP025799.1_virus_genes.tsv	ENA|AP025799|AP025799.1|provirus_2363393_2440922	0	0	0
CP109839.1_virus_genes.tsv	ENA|CP109839|CP109839.1|provirus_1836196_1878240	0	0	0
CP047340.1_virus_genes.tsv	ENA|CP047340|CP047340.1|provirus_1829971_1883035	1	1	2
CP039548.1_virus_genes.tsv	ENA|CP039548|CP039548.1|provirus_1245336_1258721	0	0	0
CP016016.1_virus_genes.tsv	ENA|CP016016|CP016016.1|provirus_566328_605019	0	0	0
CP160815.1_virus_genes.tsv	ENA|CP160815|CP160815.1|provirus_1532469_1568874	1	0	1
CP151479.1_virus_genes.tsv	ENA|CP151479|CP151479.1|provirus_1166702_1202216	0	0	0
CP089189.1_virus_genes.tsv	ENA|CP089189|CP089189.1|provirus_974720_1056408	2	0	2
CP073914.1_virus_genes.tsv	ENA|CP073914|CP073914.1|provirus_2641443_2696245	0	0	0
CP044314.1_virus_genes.tsv	ENA|CP044314|CP044314.1|provirus_2907969_2948077	1	1	2
CP136360.1_virus_genes.tsv	ENA|CP136360|CP136360.1|provirus_1695663_1732983	0	0	0
CP181102.1_virus_genes.tsv	ENA|CP181102|CP181102.1|provirus_1619241_1671558	1	0	1
CP147991.1_virus_genes.tsv	ENA|CP147991|CP147991.1|provirus_3989361_4026873	1	1	2
CP135465.1_virus_genes.tsv	ENA|CP135465|CP135465.1|provirus_2100250_2144712	1	0	1
CP020400.2_virus_genes.tsv	ENA|CP020400|CP020400.2|provirus_1396830_1437722	0	0	0
CP116223.1_virus_genes.tsv	ENA|CP116223|CP116223.1|provirus_1113538_1161182	1	1	2
CP066137.1_virus_genes.tsv	ENA|CP066137|CP066137.1|provirus_2752817_2792552	1	1	2
CP106826.1_virus_genes.tsv	ENA|CP106826|CP106826.1|provirus_1111766_1163531	0	0	0
CP085894.1_virus_genes.tsv	ENA|CP085894|CP085894.1|provirus_837784_878184	0	0	0
AP025879.1_virus_genes.tsv	ENA|AP025879|AP025879.1|provirus_2887126_2933013	1	1	2
CP144669.1_virus_genes.tsv	ENA|CP144669|CP144669.1|provirus_2280902_2323527	0	0	0
CP060156.1_virus_genes.tsv	ENA|CP060156|CP060156.1|provirus_22595_64689	0	0	0
CM129628.1_virus_genes.tsv	ENA|CM129628|CM129628.1|provirus_2938660_2988631	1	1	2
CP043955.1_virus_genes.tsv	ENA|CP043955|CP043955.1|provirus_1333660_1382129	1	1	2
CP018243.1_virus_genes.tsv	ENA|CP018243|CP018243.1|provirus_2442729_2463744	0	0	0
CP089986.1_virus_genes.tsv	ENA|CP089986|CP089986.1|provirus_1766875_1809564	1	1	2
CP074879.1_virus_genes.tsv	ENA|CP074879|CP074879.1|provirus_2314111_2366531	1	1	2
CP066249.1_virus_genes.tsv	ENA|CP066249|CP066249.1|provirus_3023163_3062096	1	1	2
CP167019.1_virus_genes.tsv	ENA|CP167019|CP167019.1|provirus_778021_819494	1	0	1
CP078118.1_virus_genes.tsv	ENA|CP078118|CP078118.1|provirus_1626381_1670278	0	0	0
CP049161.1_virus_genes.tsv	ENA|CP049161|CP049161.1|provirus_669418_688418	0	0	0
CP011534.1_virus_genes.tsv	ENA|CP011534|CP011534.1|provirus_1315837_1344774	0	0	0
CP093356.1_virus_genes.tsv	ENA|CP093356|CP093356.1|provirus_4568394_4580108	0	0	0
CP181668.1_virus_genes.tsv	ENA|CP181668|CP181668.1|provirus_2875658_2922198	0	0	0
CP066667.1_virus_genes.tsv	ENA|CP066667|CP066667.1|provirus_1742853_1782156	0	0	0
CP047340.1_virus_genes.tsv	ENA|CP047340|CP047340.1|provirus_1927986_1978159	0	0	0
CP031236.1_virus_genes.tsv	ENA|CP031236|CP031236.1|provirus_1436403_1460274	1	0	1
CP196545.1_virus_genes.tsv	ENA|CP196545|CP196545.1|provirus_3920416_3970074	1	1	2
CP162436.1_virus_genes.tsv	ENA|CP162436|CP162436.1|provirus_579463_624060	1	0	1
CP116621.1_virus_genes.tsv	ENA|CP116621|CP116621.1|provirus_1583794_1635161	1	1	2
CP110059.1_virus_genes.tsv	ENA|CP110059|CP110059.1|provirus_2428805_2468252	1	0	1
CP071206.1_virus_genes.tsv	ENA|CP071206|CP071206.1|provirus_4430559_4461767	1	1	2
CP099140.1_virus_genes.tsv	ENA|CP099140|CP099140.1|provirus_1802847_1846585	1	1	2
CP059755.1_virus_genes.tsv	ENA|CP059755|CP059755.1|provirus_760604_804124	0	0	0
CP115220.1_virus_genes.tsv	ENA|CP115220|CP115220.1|provirus_4650354_4681003	0	0	0
CP027402.1_virus_genes.tsv	ENA|CP027402|CP027402.1|provirus_2390240_2433758	0	0	0
CP174842.1_virus_genes.tsv	ENA|CP174842|CP174842.1|provirus_1483182_1520448	0	0	0
CP077828.1_virus_genes.tsv	ENA|CP077828|CP077828.1|provirus_1520338_1569804	0	1	1
CP080465.1_virus_genes.tsv	ENA|CP080465|CP080465.1|provirus_1167496_1177999	0	0	0
CP077835.1_virus_genes.tsv	ENA|CP077835|CP077835.1|provirus_3273490_3312789	0	0	0
AP019548.2_virus_genes.tsv	ENA|AP019548|AP019548.2|provirus_1093151_1142714	0	0	0
CP087294.1_virus_genes.tsv	ENA|CP087294|CP087294.1|provirus_1_34496	0	0	0
CP183849.1_virus_genes.tsv	ENA|CP183849|CP183849.1|provirus_3308637_3351239	0	0	0
CP175806.1_virus_genes.tsv	ENA|CP175806|CP175806.1|provirus_917576_957109	0	0	0
CP068618.1_virus_genes.tsv	ENA|CP068618|CP068618.1|provirus_3025271_3075359	1	0	1
CP010458.1_virus_genes.tsv	ENA|CP010458|CP010458.1|provirus_1606842_1654257	1	1	2
CP012221.1_virus_genes.tsv	ENA|CP012221|CP012221.1|provirus_408949_444890	1	0	1
CP136351.1_virus_genes.tsv	ENA|CP136351|CP136351.1|provirus_1795901_1836322	0	0	0
CP074868.1_virus_genes.tsv	ENA|CP074868|CP074868.1|provirus_3642617_3692942	1	1	2
AP020310.1_virus_genes.tsv	ENA|AP020310|AP020310.1|provirus_197439_245698	1	0	1
AP024847.1_virus_genes.tsv	ENA|AP024847|AP024847.1|provirus_2233460_2266479	0	0	0
CP137183.1_virus_genes.tsv	ENA|CP137183|CP137183.1|provirus_2933993_2964798	1	1	2
CP123070.1_virus_genes.tsv	ENA|CP123070|CP123070.1|provirus_1174931_1207008	1	0	1
CP129779.1_virus_genes.tsv	ENA|CP129779|CP129779.1|provirus_3613896_3662871	1	1	2
CP041261.3_virus_genes.tsv	ENA|CP041261|CP041261.3|provirus_717996_758527	0	0	0
CP077519.1_virus_genes.tsv	ENA|CP077519|CP077519.1|provirus_2991984_3032102	1	1	2
CP003810.1_virus_genes.tsv	ENA|CP003810|CP003810.1|provirus_617870_670491	1	0	1
LR135278.1_virus_genes.tsv	ENA|LR135278|LR135278.1|provirus_2888699_2919743	0	0	0
CP173373.1_virus_genes.tsv	ENA|CP173373|CP173373.1|provirus_1537667_1572813	0	0	0
CP128207.1_virus_genes.tsv	ENA|CP128207|CP128207.1|provirus_2150656_2189601	0	0	0
CP019991.1_virus_genes.tsv	ENA|CP019991|CP019991.1	1	0	1
CP017787.1_virus_genes.tsv	ENA|CP017787|CP017787.1|provirus_843223_885267	0	0	0
CP014026.2_virus_genes.tsv	ENA|CP014026|CP014026.2|provirus_1837290_1841537	1	1	2
CP091700.1_virus_genes.tsv	ENA|CP091700|CP091700.1|provirus_3439526_3481094	0	0	0
CP053719.1_virus_genes.tsv	ENA|CP053719|CP053719.1|provirus_4024382_4055316	0	0	0
CP018885.1_virus_genes.tsv	ENA|CP018885|CP018885.1|provirus_3801077_3839538	1	1	2
CP077519.1_virus_genes.tsv	ENA|CP077519|CP077519.1|provirus_2585154_2633223	1	1	2
CP018250.1_virus_genes.tsv	ENA|CP018250|CP018250.1|provirus_5043234_5059467	0	0	0
CP065039.2_virus_genes.tsv	ENA|CP065039|CP065039.2|provirus_3371150_3417715	0	0	0
CP060156.1_virus_genes.tsv	ENA|CP060156|CP060156.1|provirus_2062340_2076021	0	0	0
CP121367.1_virus_genes.tsv	ENA|CP121367|CP121367.1|provirus_53_101592	1	1	2
CP114994.1_virus_genes.tsv	ENA|CP114994|CP114994.1|provirus_1726742_1745509	1	1	2
CP027177.1_virus_genes.tsv	ENA|CP027177|CP027177.1|provirus_3506438_3553749	1	1	2
CP149397.1_virus_genes.tsv	ENA|CP149397|CP149397.1|provirus_173123_193542	1	0	1
CP125734.1_virus_genes.tsv	ENA|CP125734|CP125734.1|provirus_3164734_3211175	1	1	2
CP107029.1_virus_genes.tsv	ENA|CP107029|CP107029.1|provirus_4274478_4334377	0	0	0
CP012026.1_virus_genes.tsv	ENA|CP012026|CP012026.1|provirus_1368074_1393376	0	0	0
CP158974.1_virus_genes.tsv	ENA|CP158974|CP158974.1|provirus_1496104_1515375	0	0	0
CP078004.1_virus_genes.tsv	ENA|CP078004|CP078004.1|provirus_1550220_1588763	0	0	0
CP028956.1_virus_genes.tsv	ENA|CP028956|CP028956.1|provirus_2798790_2844434	1	1	2
CP098025.1_virus_genes.tsv	ENA|CP098025|CP098025.1|provirus_66586_102007	0	0	0
CP090348.1_virus_genes.tsv	ENA|CP090348|CP090348.1|provirus_5341592_5349636	0	0	0
CP091044.1_virus_genes.tsv	ENA|CP091044|CP091044.1|provirus_3381722_3429445	0	0	0
CP066132.1_virus_genes.tsv	ENA|CP066132|CP066132.1|provirus_1727144_1784531	1	1	2
CP149418.1_virus_genes.tsv	ENA|CP149418|CP149418.1|provirus_3380335_3431482	1	1	2
CP130525.1_virus_genes.tsv	ENA|CP130525|CP130525.1|provirus_2079378_2183641	2	0	2
CP115618.1_virus_genes.tsv	ENA|CP115618|CP115618.1	0	0	0
CP083366.1_virus_genes.tsv	ENA|CP083366|CP083366.1|provirus_674366_692841	0	0	0
CP071459.1_virus_genes.tsv	ENA|CP071459|CP071459.1|provirus_1214788_1253382	0	0	0
CP048806.1_virus_genes.tsv	ENA|CP048806|CP048806.1|provirus_1570723_1631899	1	1	2
CP029108.1_virus_genes.tsv	ENA|CP029108|CP029108.1|provirus_4589951_4609329	0	0	0
CP045193.1_virus_genes.tsv	ENA|CP045193|CP045193.1|provirus_3201960_3300858	2	1	3
CP083775.1_virus_genes.tsv	ENA|CP083775|CP083775.1|provirus_2900566_2949566	1	1	2
CP043910.1_virus_genes.tsv	ENA|CP043910|CP043910.1|provirus_3705147_3755288	0	0	0
CP065148.1_virus_genes.tsv	ENA|CP065148|CP065148.1|provirus_1236446_1267468	0	0	0
CP186042.1_virus_genes.tsv	ENA|CP186042|CP186042.1|provirus_3396647_3436062	1	1	2
CP137221.1_virus_genes.tsv	ENA|CP137221|CP137221.1|provirus_2444215_2475149	0	0	0
CP115224.1_virus_genes.tsv	ENA|CP115224|CP115224.1|provirus_2_8023	0	0	0
CP073244.1_virus_genes.tsv	ENA|CP073244|CP073244.1|provirus_3670517_3713573	0	0	0
CP071244.1_virus_genes.tsv	ENA|CP071244|CP071244.1|provirus_4430528_4461736	1	1	2
CP091343.1_virus_genes.tsv	ENA|CP091343|CP091343.1|provirus_709292_771808	0	1	1
CP141835.1_virus_genes.tsv	ENA|CP141835|CP141835.1|provirus_2450444_2481377	0	0	0
CP062723.1_virus_genes.tsv	ENA|CP062723|CP062723.1|provirus_3012796_3072227	1	1	2
CP029882.1_virus_genes.tsv	ENA|CP029882|CP029882.1|provirus_3481673_3518895	1	1	2
CP066833.1_virus_genes.tsv	ENA|CP066833|CP066833.1|provirus_1570729_1612315	1	1	2
CP026034.1_virus_genes.tsv	ENA|CP026034|CP026034.1|provirus_3242826_3272281	0	0	0
JBSMJA000000000_virus_genes.tsv	ENA|JBSMJA010000001|JBSMJA010000001.1|provirus_183179_223355	0	0	0
CP040015.1_virus_genes.tsv	ENA|CP040015|CP040015.1|provirus_126109_162728	1	1	2
CP163156.1_virus_genes.tsv	ENA|CP163156|CP163156.1|provirus_5957471_6001092	0	0	0
CP048246.1_virus_genes.tsv	ENA|CP048246|CP048246.1|provirus_1056022_1100588	0	0	0
CP026711.1_virus_genes.tsv	ENA|CP026711|CP026711.1|provirus_3320552_3375741	0	1	1
CP026062.1_virus_genes.tsv	ENA|CP026062|CP026062.1|provirus_1681984_1729805	0	0	0
CP048382.1_virus_genes.tsv	ENA|CP048382|CP048382.1|provirus_3546768_3592866	0	0	0
CP033893.1_virus_genes.tsv	ENA|CP033893|CP033893.1|provirus_4126385_4170944	1	1	2
CP158491.1_virus_genes.tsv	ENA|CP158491|CP158491.1|provirus_2121095_2134538	0	0	0
OY970410.1_virus_genes.tsv	ENA|OY970410|OY970410.1|provirus_620619_662882	1	1	2
CP175755.1_virus_genes.tsv	ENA|CP175755|CP175755.1|provirus_2132996_2189253	0	0	0
CP120339.1_virus_genes.tsv	ENA|CP120339|CP120339.1|provirus_2928370_2975192	1	1	2
CP042524.1_virus_genes.tsv	ENA|CP042524|CP042524.1|provirus_3280775_3318277	1	1	2
CP031027.1_virus_genes.tsv	ENA|CP031027|CP031027.1|provirus_2406835_2443892	0	0	0
CP026062.1_virus_genes.tsv	ENA|CP026062|CP026062.1|provirus_1172115_1215328	1	1	2
CP183242.1_virus_genes.tsv	ENA|CP183242|CP183242.1|provirus_1526110_1547302	0	0	0
CP104643.1_virus_genes.tsv	ENA|CP104643|CP104643.1|provirus_1473655_1509177	1	1	2
CP062727.1_virus_genes.tsv	ENA|CP062727|CP062727.1|provirus_3165354_3223713	1	0	1
CP127235.1_virus_genes.tsv	ENA|CP127235|CP127235.1|provirus_3116773_3137288	0	0	0
AP023067.1_virus_genes.tsv	ENA|AP023067|AP023067.1|provirus_851584_868401	0	0	0
CP103850.1_virus_genes.tsv	ENA|CP103850|CP103850.1|provirus_1282906_1290126	0	0	0
CP097486.1_virus_genes.tsv	ENA|CP097486|CP097486.1|provirus_989223_1023884	0	0	0
CP035258.1_virus_genes.tsv	ENA|CP035258|CP035258.1|provirus_1741937_1786087	0	0	0
OX419553.1_virus_genes.tsv	ENA|OX419553|OX419553.1|provirus_2185813_2239026	0	0	0
CP175273.1_virus_genes.tsv	ENA|CP175273|CP175273.1|provirus_2956732_3025137	0	0	0
CP149246.1_virus_genes.tsv	ENA|CP149246|CP149246.1|provirus_3_33219	1	1	2
CP114105.1_virus_genes.tsv	ENA|CP114105|CP114105.1|provirus_2745238_2765144	0	0	0
CP195994.1_virus_genes.tsv	ENA|CP195994|CP195994.1|provirus_2501607_2518833	1	1	2
CP042907.1_virus_genes.tsv	ENA|CP042907|CP042907.1|provirus_3087019_3111313	0	0	0
CP135846.1_virus_genes.tsv	ENA|CP135846|CP135846.1|provirus_405478_457893	2	1	3
CP047548.1_virus_genes.tsv	ENA|CP047548|CP047548.1|provirus_1990213_2029265	1	1	2
CP066380.1_virus_genes.tsv	ENA|CP066380|CP066380.1|provirus_2613063_2651670	0	0	0
CP196517.1_virus_genes.tsv	ENA|CP196517|CP196517.1|provirus_3393142_3410561	1	1	2
AE009949.1_virus_genes.tsv	ENA|AE009949|AE009949.1|provirus_1203967_1241416	0	0	0
CP054054.1_virus_genes.tsv	ENA|CP054054|CP054054.1|provirus_555218_601777	0	0	0
JBRYYE000000000_virus_genes.tsv	ENA|JBRYYE010000001|JBRYYE010000001.1|provirus_4831114_4854613	1	1	2
CP196541.1_virus_genes.tsv	ENA|CP196541|CP196541.1|provirus_1114824_1158866	1	1	2
CP148005.1_virus_genes.tsv	ENA|CP148005|CP148005.1|provirus_1623145_1633225	0	0	0
CP047485.1_virus_genes.tsv	ENA|CP047485|CP047485.1|provirus_1338275_1366369	0	0	0
AP028059.1_virus_genes.tsv	ENA|AP028059|AP028059.1|provirus_1356415_1385470	0	0	0
CP161897.1_virus_genes.tsv	ENA|CP161897|CP161897.1|provirus_696623_709128	0	0	0
AP018778.1_virus_genes.tsv	ENA|AP018778|AP018778.1|provirus_513561_548861	1	1	2
CP152447.1_virus_genes.tsv	ENA|CP152447|CP152447.1|provirus_1208776_1247536	1	1	2
CP077971.1_virus_genes.tsv	ENA|CP077971|CP077971.1|provirus_3184919_3223232	0	1	1
CP157773.1_virus_genes.tsv	ENA|CP157773|CP157773.1|provirus_1319650_1334999	0	0	0
CP066637.1_virus_genes.tsv	ENA|CP066637|CP066637.1|provirus_2180404_2194958	0	0	0
CP149807.1_virus_genes.tsv	ENA|CP149807|CP149807.1|provirus_2015064_2058401	0	0	0
CP156938.1_virus_genes.tsv	ENA|CP156938|CP156938.1	0	0	0
CP143742.1_virus_genes.tsv	ENA|CP143742|CP143742.1|provirus_1_25509	0	0	0
CP096681.1_virus_genes.tsv	ENA|CP096681|CP096681.1|provirus_1788348_1827241	0	1	1
CP048275.1_virus_genes.tsv	ENA|CP048275|CP048275.1|provirus_2300984_2356021	1	1	2
CP023799.1_virus_genes.tsv	ENA|CP023799|CP023799.1|provirus_2108183_2145213	0	0	0
CP135757.1_virus_genes.tsv	ENA|CP135757|CP135757.1|provirus_1153137_1176997	1	0	1
CP027160.1_virus_genes.tsv	ENA|CP027160|CP027160.1|provirus_814168_854058	1	1	2
CP139334.1_virus_genes.tsv	ENA|CP139334|CP139334.1|provirus_3068051_3080656	0	0	0
CP076821.1_virus_genes.tsv	ENA|CP076821|CP076821.1|provirus_3099745_3135633	0	1	1
JBSKFX000000000_virus_genes.tsv	ENA|JBSKFX010000001|JBSKFX010000001.1|provirus_4539703_4573087	0	0	0
CP126097.1_virus_genes.tsv	ENA|CP126097|CP126097.1|provirus_1289986_1320092	0	0	0
CP062723.1_virus_genes.tsv	ENA|CP062723|CP062723.1|provirus_1844007_1894760	1	1	2
CP181512.1_virus_genes.tsv	ENA|CP181512|CP181512.1|provirus_920788_941705	1	1	2
CP177210.1_virus_genes.tsv	ENA|CP177210|CP177210.1|provirus_2480034_2510967	0	0	0
CP159518.1_virus_genes.tsv	ENA|CP159518|CP159518.1|provirus_2893419_2981615	0	0	0
CP189770.1_virus_genes.tsv	ENA|CP189770|CP189770.1|provirus_67189_101914	0	0	0
CP047275.1_virus_genes.tsv	ENA|CP047275|CP047275.1|provirus_4073019_4130520	0	0	0
LR134105.1_virus_genes.tsv	ENA|LR134105|LR134105.1|provirus_1971699_1999730	0	0	0
CP117332.1_virus_genes.tsv	ENA|CP117332|CP117332.1|provirus_4445852_4477454	0	0	0
CP171894.1_virus_genes.tsv	ENA|CP171894|CP171894.1|provirus_4360534_4415079	0	0	0
CP131724.1_virus_genes.tsv	ENA|CP131724|CP131724.1|provirus_310854_341182	1	1	2
AP040340.1_virus_genes.tsv	ENA|AP040340|AP040340.1|provirus_680843_699313	0	0	0
CP151672.1_virus_genes.tsv	ENA|CP151672|CP151672.1|provirus_3053714_3128904	0	0	0
CP054160.3_virus_genes.tsv	ENA|CP054160|CP054160.3|provirus_4412726_4427541	0	0	0
CP159146.1_virus_genes.tsv	ENA|CP159146|CP159146.1|provirus_3872065_3914747	1	1	2
CP154297.1_virus_genes.tsv	ENA|CP154297|CP154297.1|provirus_1218063_1256823	1	1	2
CP053808.1_virus_genes.tsv	ENA|CP053808|CP053808.1|provirus_1442530_1449775	0	0	0
CP153689.1_virus_genes.tsv	ENA|CP153689|CP153689.1|provirus_3037340_3092388	1	0	1
CP023383.1_virus_genes.tsv	ENA|CP023383|CP023383.1|provirus_1634617_1647656	0	0	0
CM133233.1_virus_genes.tsv	ENA|CM133233|CM133233.1|provirus_1082025_1096988	0	0	0
CP175045.1_virus_genes.tsv	ENA|CP175045|CP175045.1|provirus_1_33038	0	0	0
CP174255.1_virus_genes.tsv	ENA|CP174255|CP174255.1|provirus_3307149_3385920	2	1	3
CP123597.1_virus_genes.tsv	ENA|CP123597|CP123597.1|provirus_316542_358350	1	1	2
LS483319.1_virus_genes.tsv	ENA|LS483319|LS483319.1|provirus_2027356_2071392	0	0	0
CP163039.1_virus_genes.tsv	ENA|CP163039|CP163039.1|provirus_2901767_2986368	0	0	0
CP107274.1_virus_genes.tsv	ENA|CP107274|CP107274.1|provirus_1124173_1167226	0	0	0
CP011572.1_virus_genes.tsv	ENA|CP011572|CP011572.1|provirus_1994107_2040142	1	1	2
LR134512.1_virus_genes.tsv	ENA|LR134512|LR134512.1|provirus_582209_638290	1	0	1
CP192505.1_virus_genes.tsv	ENA|CP192505|CP192505.1|provirus_1436408_1475255	1	1	2
CP112862.1_virus_genes.tsv	ENA|CP112862|CP112862.1|provirus_2083592_2098146	0	0	0
CP149403.1_virus_genes.tsv	ENA|CP149403|CP149403.1|provirus_1269829_1318692	1	1	2
CP021866.1_virus_genes.tsv	ENA|CP021866|CP021866.1|provirus_1184422_1226555	1	0	1
CP159841.1_virus_genes.tsv	ENA|CP159841|CP159841.1|provirus_118_39236	0	0	0
CP137069.1_virus_genes.tsv	ENA|CP137069|CP137069.1|provirus_765272_830657	0	1	1
CM132338.1_virus_genes.tsv	ENA|CM132338|CM132338.1|provirus_183179_223355	0	0	0
CP093356.1_virus_genes.tsv	ENA|CP093356|CP093356.1|provirus_1502961_1545697	0	0	0
CP137217.1_virus_genes.tsv	ENA|CP137217|CP137217.1|provirus_1676441_1716276	1	1	2
CP104660.1_virus_genes.tsv	ENA|CP104660|CP104660.1|provirus_1461607_1506141	1	0	1
CP166427.1_virus_genes.tsv	ENA|CP166427|CP166427.1|provirus_1415684_1464133	1	1	2
CP137179.1_virus_genes.tsv	ENA|CP137179|CP137179.1|provirus_4409909_4451499	0	0	0
CP140441.1_virus_genes.tsv	ENA|CP140441|CP140441.1|provirus_2745106_2778770	0	0	0
CP027517.1_virus_genes.tsv	ENA|CP027517|CP027517.1|provirus_1858390_1908606	0	0	0
CP176085.1_virus_genes.tsv	ENA|CP176085|CP176085.1|provirus_3674071_3707960	1	1	2
CP173707.1_virus_genes.tsv	ENA|CP173707|CP173707.1|provirus_2800754_2804779	1	1	2
CP126811.1_virus_genes.tsv	ENA|CP126811|CP126811.1|provirus_1762886_1808265	0	0	0
CP091346.1_virus_genes.tsv	ENA|CP091346|CP091346.1|provirus_1041527_1131415	0	1	1
CP089794.1_virus_genes.tsv	ENA|CP089794|CP089794.1|provirus_475315_492873	0	0	0
CP007561.1_virus_genes.tsv	ENA|CP007561|CP007561.1|provirus_992806_1035662	1	0	1
CP171668.1_virus_genes.tsv	ENA|CP171668|CP171668.1|provirus_748186_774468	1	1	2
CP021852.1_virus_genes.tsv	ENA|CP021852|CP021852.1|provirus_1039786_1093293	1	1	2
CP133562.1_virus_genes.tsv	ENA|CP133562|CP133562.1|provirus_3876714_3907105	1	1	2
CM128589.1_virus_genes.tsv	ENA|CM128589|CM128589.1|provirus_2693281_2734082	2	1	3
AP022510.1_virus_genes.tsv	ENA|AP022510|AP022510.1|provirus_1281027_1331362	0	0	0
OW969875.1_virus_genes.tsv	ENA|OW969875|OW969875.1|provirus_697863_726488	0	0	0
CP135734.1_virus_genes.tsv	ENA|CP135734|CP135734.1|provirus_497130_547910	2	1	3
CP133342.1_virus_genes.tsv	ENA|CP133342|CP133342.1|provirus_2761216_2809732	1	1	2
CP035183.1_virus_genes.tsv	ENA|CP035183|CP035183.1|provirus_2707864_2773249	0	1	1
CP014471.1_virus_genes.tsv	ENA|CP014471|CP014471.1|provirus_1791783_1798640	0	0	0
CP083784.1_virus_genes.tsv	ENA|CP083784|CP083784.1|provirus_2908793_2960384	1	0	1
CP156930.1_virus_genes.tsv	ENA|CP156930|CP156930.1|provirus_4672706_4684524	0	0	0
CP182241.1_virus_genes.tsv	ENA|CP182241|CP182241.1|provirus_2799506_2851299	1	1	2
CP135809.1_virus_genes.tsv	ENA|CP135809|CP135809.1|provirus_1805309_1832710	2	1	3
CP103863.1_virus_genes.tsv	ENA|CP103863|CP103863.1|provirus_2082156_2161958	0	0	0
CP043225.1_virus_genes.tsv	ENA|CP043225|CP043225.1|provirus_3434654_3462027	0	0	0
CP022206.1_virus_genes.tsv	ENA|CP022206|CP022206.1|provirus_1032200_1075597	0	0	0
LT591904.1_virus_genes.tsv	ENA|LT591904|LT591904.1|provirus_876022_892772	0	0	0
LR890679.1_virus_genes.tsv	ENA|LR890679|LR890679.1|provirus_2932591_2971774	1	0	1
CP033056.1_virus_genes.tsv	ENA|CP033056|CP033056.1|provirus_2174461_2250334	1	1	2
CP031571.1_virus_genes.tsv	ENA|CP031571|CP031571.1|provirus_414279_464828	1	1	2
CP166427.1_virus_genes.tsv	ENA|CP166427|CP166427.1|provirus_4011711_4046086	0	0	0
CP115191.1_virus_genes.tsv	ENA|CP115191|CP115191.1|provirus_2877070_2932174	0	0	0
CP015020.1_virus_genes.tsv	ENA|CP015020|CP015020.1|provirus_1190005_1252192	1	1	2
CP025933.1_virus_genes.tsv	ENA|CP025933|CP025933.1|provirus_1523715_1548983	1	1	2
CP038292.1_virus_genes.tsv	ENA|CP038292|CP038292.1|provirus_2055861_2099206	1	1	2
CP101057.1_virus_genes.tsv	ENA|CP101057|CP101057.1|provirus_3844402_3887038	1	1	2
CP095922.1_virus_genes.tsv	ENA|CP095922|CP095922.1|provirus_673691_692167	0	0	0
CP015020.1_virus_genes.tsv	ENA|CP015020|CP015020.1|provirus_4657423_4696012	2	1	3
CP119165.1_virus_genes.tsv	ENA|CP119165|CP119165.1|provirus_696623_709128	0	0	0
CP073771.1_virus_genes.tsv	ENA|CP073771|CP073771.1|provirus_3362510_3401283	0	0	0
CP110857.1_virus_genes.tsv	ENA|CP110857|CP110857.1|provirus_2349253_2379832	0	0	0
CP189777.1_virus_genes.tsv	ENA|CP189777|CP189777.1|provirus_1617676_1698573	2	2	4
CP125735.1_virus_genes.tsv	ENA|CP125735|CP125735.1	0	0	0
CP104820.1_virus_genes.tsv	ENA|CP104820|CP104820.1|provirus_1962943_2004894	0	0	0
CP135774.1_virus_genes.tsv	ENA|CP135774|CP135774.1|provirus_443860_495163	2	1	3
CP044314.1_virus_genes.tsv	ENA|CP044314|CP044314.1|provirus_3_34099	0	0	0
CP166883.1_virus_genes.tsv	ENA|CP166883|CP166883.1|provirus_2042031_2107313	0	0	0
AP027721.1_virus_genes.tsv	ENA|AP027721|AP027721.1|provirus_2418434_2432638	0	0	0
CP085291.1_virus_genes.tsv	ENA|CP085291|CP085291.1|provirus_1826851_1865708	0	0	0
