accession	seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
CP040015.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040016.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040171.1	ENA|CP040171|CP040171.1	140291	No terminal repeats	176	11	0.9930	NA	24	72.2411	T_virB1;F_traG;F_traH;F_traF;F_trbC;F_traU;F_traW;virb4;F_traV;F_traB;F_traK;F_traE;F_traL;t4cp1;MOBH;T_virB9;T_virB8	NA
CP040172.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040173.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040182.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040263.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040264.1	ENA|CP040264|CP040264.1	97726	No terminal repeats	108	11	0.9952	NA	19	73.6404	MOBP1;I_trbB;I_trbA;I_traY;I_traW;I_traV;traU;I_traT;I_traR;I_traQ;I_traP;I_traO;I_traN;I_traL;I_traK;I_traI;I_traE	NA
CP040265.1	ENA|CP040265|CP040265.1	73952	No terminal repeats	90	11	0.9953	NA	29	79.6688	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;MOBF	NA
CP040266.1	ENA|CP040266|CP040266.1	30240	No terminal repeats	43	11	0.9925	NA	6	24.2518	T_virB9	NA
CP040267.1	ENA|CP040267|CP040267.1	7464	No terminal repeats	7	11	0.9930	NA	1	2.5721	MOBQ	NA
CP040268.1	ENA|CP040268|CP040268.1	5165	No terminal repeats	5	11	0.9949	NA	1	3.7523	MOBQ	NA
CP040269.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040270.1	ENA|CP040270|CP040270.1	91123	No terminal repeats	98	11	0.9953	NA	19	73.2648	MOBP1;I_trbB;I_trbA;I_traY;I_traW;I_traV;traU;I_traT;I_traR;I_traQ;I_traP;I_traO;I_traN;I_traL;I_traK;I_traI;I_traE	NA
CP040271.1	ENA|CP040271|CP040271.1	4087	No terminal repeats	4	11	0.9926	NA	1	1.7183	NA	NA
CP040350.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040646.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040647.1	ENA|CP040647|CP040647.1	59372	No terminal repeats	76	11	0.9946	NA	16	46.7065	F_traV;F_traK;F_traE;F_traL	NA
CP040664.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040696.1	ENA|CP040696|CP040696.1	309536	No terminal repeats	349	11	0.9941	NA	19	212.3300	T_virB1;F_traH;F_traF;MOBH;t4cp1;F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC	NF012171;NF033144
CP040697.1	ENA|CP040697|CP040697.1	53964	No terminal repeats	64	11	0.9937	NA	2	19.4611	MOBC	NF033144
CP040698.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040701.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040702.1	ENA|CP040702|CP040702.1	104768	No terminal repeats	96	11	0.9930	NA	25	57.0539	F_traL;F_traE;F_traK;F_traV;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;t4cp2;MOBF	NA
CP040703.1	ENA|CP040703|CP040703.1	10664	No terminal repeats	15	11	0.9923	NA	1	6.3127	NA	NA
CP040704.1	ENA|CP040704|CP040704.1	206851	No terminal repeats	232	11	0.9906	NA	3	45.6798	MOBV;MOBP2	NA
CP040705.1	ENA|CP040705|CP040705.1	8748	DTR	12	11	0.9940	NA	2	11.8049	NA	NA
CP040706.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040707.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040708.1	ENA|CP040708|CP040708.1	71214	No terminal repeats	88	11	0.9920	NA	1	20.8301	NA	NF033115;NF033068;NF033115
CP040740.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040741.1	ENA|CP040741|CP040741.1	238664	No terminal repeats	276	11	0.9895	NA	2	56.3718	MOBP2	NA
CP040742.1	ENA|CP040742|CP040742.1	132733	No terminal repeats	167	11	0.9906	NA	2	31.1448	NA	NF033115;NF033068
CP040743.1	ENA|CP040743|CP040743.1	6175	No terminal repeats	8	11	0.9956	NA	1	9.3098	NA	NA
CP040744.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040801.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040802.1	ENA|CP040802|CP040802.1	25946	No terminal repeats	29	11	0.9941	NA	3	10.6020	NA	NF040806;NF012167;NF012176
CP040859.1	ENA|CP040859|CP040859.1	60832	No terminal repeats	73	11	0.9945	NA	10	49.9107	T_virB9;T_virB8;T_virB6;T_virB5;virb4;T_virB3;T_virB1	NF012171
CP040860.1	ENA|CP040860|CP040860.1	5840	No terminal repeats	8	11	0.9957	NA	2	7.4904	NA	NA
CP040861.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040862.1	ENA|CP040862|CP040862.1	263991	No terminal repeats	286	11	0.9942	NA	25	149.2287	MOBF;F_traF;F_traN;F_trbC;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF012178;NF000402
CP040877.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040878.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP040997.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041005.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041006.1	ENA|CP041006|CP041006.1	93933	No terminal repeats	117	11	0.9949	NA	31	78.7366	MOBF;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NA
CP041007.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041009.1	ENA|CP041009|CP041009.1	32188	No terminal repeats	38	11	0.9932	NA	2	13.7809	NA	NF012167;NF040806;NF000025
CP041010.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041122.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041123.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041124.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041129.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041130.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041134.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041171.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041172.1	ENA|CP041172|CP041172.1	153516	DTR	183	11	0.9933	NA	21	69.1269	T_virB1;F_traG;F_traH;F_traF;MOBH;t4cp1;F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC	NF012174;NF012171;NF033085;NF012178
CP041176.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041177.1	ENA|CP041177|CP041177.1	111764	No terminal repeats	131	11	0.9952	NA	28	96.4695	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;MOBF	NF000496;NF012171;NF012174
CP041178.1	ENA|CP041178|CP041178.1	59372	No terminal repeats	75	11	0.9946	NA	16	46.7065	F_traV;F_traK;F_traE;F_traL	NA
CP041183.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041254.1	ENA|CP041254|CP041254.1	63472	No terminal repeats	74	11	0.9938	NA	2	36.9136	MOBP2	NA
CP041255.1	ENA|CP041255|CP041255.1	53447	No terminal repeats	66	11	0.9919	NA	3	16.5066	T_virB11;MOBP2	NA
CP041256.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041257.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041258.1	ENA|CP041258|CP041258.1	81972	No terminal repeats	94	11	0.9938	NA	3	41.4314	MOBP2	NF033068
CP041261.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041262.3	ENA|CP041262|CP041262.3	195404	No terminal repeats	203	11	0.9902	NA	2	49.9147	MOBP2	NF033693
CP041263.2	ENA|CP041263|CP041263.2	89846	No terminal repeats	108	11	0.9882	NA	2	9.3637	NA	NA
CP041264.2	ENA|CP041264|CP041264.2	65253	No terminal repeats	73	11	0.9936	NA	2	35.2090	MOBP2	NA
CP041265.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041266.2	ENA|CP041266|CP041266.2	6173	No terminal repeats	8	11	0.9955	NA	1	9.3098	NA	NA
CP041267.2	ENA|CP041267|CP041267.2	4372	No terminal repeats	7	11	0.9952	NA	1	7.6207	NA	NA
CP041268.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041269.2	ENA|CP041269|CP041269.2	35172	No terminal repeats	45	11	0.9927	NA	1	11.0347	NA	NF033115;NF033068
CP041270.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041271.2	ENA|CP041271|CP041271.2	194168	No terminal repeats	199	11	0.9898	NA	2	49.9147	MOBP2	NF033693
CP041272.1	ENA|CP041272|CP041272.1	89798	No terminal repeats	107	11	0.9876	NA	2	9.3637	NA	NA
CP041273.1	ENA|CP041273|CP041273.1	65253	No terminal repeats	73	11	0.9936	NA	2	35.2090	MOBP2	NA
CP041275.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041276.1	ENA|CP041276|CP041276.1	4372	No terminal repeats	7	11	0.9947	NA	1	5.9024	NA	NA
CP041278.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041279.2	ENA|CP041279|CP041279.2	35216	No terminal repeats	45	11	0.9927	NA	1	11.0347	NA	NF033115;NF033068
CP041344.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041358.1	ENA|CP041358|CP041358.1	130003	No terminal repeats	153	11	0.9949	NA	27	96.3031	F_traL;F_traE;F_traK;F_traV;F_traN;F_traF;F_traH;F_traG;MOBF	NF033134
CP041359.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041392.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041393.1	ENA|CP041393|CP041393.1	139547	No terminal repeats	145	11	0.9949	NA	26	86.8721	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;MOBF	NF012174;NF000270;NF000005;NF012147;NF012178
CP041394.1	ENA|CP041394|CP041394.1	137828	No terminal repeats	144	11	0.9950	NA	26	105.6664	I_trbA;I_trbB;MOBP1;MOBP1;I_trbB;I_trbA;I_traY;I_traW;I_traV;traU;I_traT;I_traR;I_traQ;I_traP;I_traO;I_traN;I_traL;I_traK;I_traI;I_traE	NA
CP041431.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041432.1	ENA|CP041432|CP041432.1	80029	No terminal repeats	94	11	0.9954	NA	30	79.3572	MOBF;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NA
CP041584.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041587.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041588.1	ENA|CP041588|CP041588.1	6078	No terminal repeats	7	11	0.9936	NA	2	5.0002	MOBP1	NF000153
CP041589.1	ENA|CP041589|CP041589.1	10967	No terminal repeats	12	11	0.9941	NA	1	5.2214	NA	NA
CP041590.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041733.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041735.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041736.1	ENA|CP041736|CP041736.1	2496	No terminal repeats	3	11	0.9954	NA	1	3.1262	NA	NA
CP041737.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041738.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041739.1	ENA|CP041739|CP041739.1	70182	No terminal repeats	74	11	0.9916	NA	3	17.4482	FATA_prgIc;FATA_prgL	NA
CP041740.1	ENA|CP041740|CP041740.1	45436	No terminal repeats	57	11	0.9941	NA	7	24.6993	FATA_trsL;FATA_trsJ;FATA_trsL	NF033693;NF000027
CP041998.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP041999.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042000.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042001.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042002.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042107.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042108.1	ENA|CP042108|CP042108.1	17383	DTR	23	11	0.9932	NA	2	7.2716	NA	NA
CP042109.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042211.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042212.1	ENA|CP042212|CP042212.1	6149	No terminal repeats	5	11	0.9936	NA	2	3.3035	MOBP1	NA
CP042216.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042217.2	ENA|CP042217|CP042217.2	85951	No terminal repeats	101	11	0.9893	NA	2	22.2448	NA	NF012176
CP042299.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042300.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042363.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042478.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042479.1	ENA|CP042479|CP042479.1	243455	No terminal repeats	274	11	0.9926	NA	41	106.9848	T_virB10;T_virB9;T_virB8;T_virB6;T_virB5;virb4;T_virB3;T_virB2;T_virB11;t4cp2;t4cp2;T_virB11;T_virB2;T_virB3;virb4;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10;MOBH;t4cp1;F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traF;F_traH;F_traG;T_virB1	NA
CP042480.1	ENA|CP042480|CP042480.1	176400	No terminal repeats	183	11	0.9932	NA	28	79.1578	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;MOBF	NF012147;NF040806;NF000270;NF033144;NF012178
CP042488.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042489.1	ENA|CP042489|CP042489.1	340181	No terminal repeats	367	11	0.9940	NA	17	208.4690	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF012171;NF012178;NF033144;NF000270
CP042491.1	ENA|CP042491|CP042491.1	4853	No terminal repeats	8	11	0.9943	NA	2	3.7423	MOBP1	NA
CP042492.1	ENA|CP042492|CP042492.1	2494	No terminal repeats	3	11	0.9953	NA	1	3.1262	NA	NA
CP042512.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042513.1	ENA|CP042513|CP042513.1	186249	No terminal repeats	213	11	0.9945	NA	27	135.3807	MOBF;F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF000402;NF012178
CP042514.1	ENA|CP042514|CP042514.1	87731	No terminal repeats	109	11	0.9926	NA	15	46.5950	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF012147;NF012178
CP042515.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042516.1	ENA|CP042516|CP042516.1	2694	No terminal repeats	4	11	0.9942	NA	2	2.1806	NA	NA
CP042517.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042518.1	ENA|CP042518|CP042518.1	243455	No terminal repeats	274	11	0.9926	NA	41	106.9848	T_virB10;T_virB9;T_virB8;T_virB6;T_virB5;virb4;T_virB3;T_virB2;T_virB11;t4cp2;t4cp2;T_virB11;T_virB2;T_virB3;virb4;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10;MOBH;t4cp1;F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traF;F_traH;F_traG;T_virB1	NA
CP042524.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042525.1	ENA|CP042525|CP042525.1	339433	No terminal repeats	354	11	0.9940	NA	18	193.5100	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1;F_traE	NA
CP042526.1	ENA|CP042526|CP042526.1	87731	No terminal repeats	109	11	0.9927	NA	15	46.5950	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF012178;NF012147
CP042527.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042528.1	ENA|CP042528|CP042528.1	4938	No terminal repeats	6	11	0.9940	NA	2	4.5840	MOBP1	NA
CP042529.1	ENA|CP042529|CP042529.1	3223	No terminal repeats	4	11	0.9955	NA	2	4.5840	MOBP1	NA
CP042534.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042535.1	ENA|CP042535|CP042535.1	306224	No terminal repeats	372	11	0.9897	NA	20	50.8829	T_virB1;F_traG;F_traH;F_traF;F_traU;F_traW;virb4;F_traV;F_traB;F_traK;F_traE;F_traL;t4cp1;MOBH	NA
CP042536.1	ENA|CP042536|CP042536.1	140460	No terminal repeats	174	11	0.9920	NA	21	61.2531	MOBH;t4cp1;F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traF;F_traH;F_traG;T_virB1	NA
CP042537.1	ENA|CP042537|CP042537.1	87731	No terminal repeats	109	11	0.9926	NA	15	46.5950	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF012147;NF012178
CP042538.1	ENA|CP042538|CP042538.1	4938	No terminal repeats	6	11	0.9945	NA	2	4.5840	MOBP1	NA
CP042539.1	ENA|CP042539|CP042539.1	3223	No terminal repeats	5	11	0.9948	NA	2	4.5840	MOBP1	NA
CP042556.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042557.1	ENA|CP042557|CP042557.1	327867	No terminal repeats	333	11	0.9930	NA	9	239.8373	F_traE;traU;I_traN;I_traM;I_traI;I_traY;I_traW	NF040806;NF000025;NF012174;NF012147
CP042558.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042559.1	ENA|CP042559|CP042559.1	8795	No terminal repeats	11	11	0.9953	NA	2	9.8696	MOBQ	NA
CP042560.1	ENA|CP042560|CP042560.1	7703	No terminal repeats	11	11	0.9937	NA	1	6.7327	NA	NA
CP042561.1	ENA|CP042561|CP042561.1	5234	No terminal repeats	7	11	0.9950	NA	2	5.5461	MOBQ	NA
CP042562.1	ENA|CP042562|CP042562.1	5039	No terminal repeats	7	11	0.9940	NA	3	5.1548	MOBP1;MOBP1	NA
CP042563.1	ENA|CP042563|CP042563.1	4715	No terminal repeats	8	11	0.9944	NA	2	5.6249	MOBP1	NA
CP042564.1	ENA|CP042564|CP042564.1	3065	No terminal repeats	4	11	0.9942	NA	1	3.4296	NA	NA
CP042565.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042571.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042572.1	ENA|CP042572|CP042572.1	167131	No terminal repeats	177	11	0.9938	NA	22	98.9700	MOBF;t4cp2;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traB;F_traK;F_traE;F_traL	NA
CP042573.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042574.1	ENA|CP042574|CP042574.1	86404	No terminal repeats	108	11	0.9928	NA	15	46.5950	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF012147;NF012178
CP042575.1	ENA|CP042575|CP042575.1	4921	No terminal repeats	4	11	0.9939	NA	2	3.1408	MOBP1	NA
CP042576.1	ENA|CP042576|CP042576.1	2495	No terminal repeats	3	11	0.9953	NA	1	3.1262	NA	NA
CP042577.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042841.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042842.1	ENA|CP042842|CP042842.1	67023	No terminal repeats	94	11	0.9888	NA	15	32.4269	F_traL;F_traE;F_traK;F_traB;F_traV;F_traW;F_traU;F_trbC;F_trbC;F_traF;F_traH;F_traG;t4cp2	NA
CP042845.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042857.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042885.1	ENA|CP042885|CP042885.1	167966	No terminal repeats	204	11	0.9938	NA	22	89.1229	MOBP1;I_trbB;I_trbA;I_traY;I_traW;I_traV;traU;F_traE;F_traL;F_traE;F_traK;F_traE	NA
CP042886.1	ENA|CP042886|CP042886.1	88772	No terminal repeats	101	11	0.9952	NA	18	76.9222	MOBP1;I_trbB;I_trbA;I_traY;I_traW;I_traV;traU;I_traT;I_traR;I_traQ;I_traP;I_traO;I_traN;I_traL;I_traK;I_traI;I_traE	NA
CP042887.1	ENA|CP042887|CP042887.1	68601	No terminal repeats	81	11	0.9956	NA	28	72.1785	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;MOBF	NF012178
CP042888.1	ENA|CP042888|CP042888.1	57966	No terminal repeats	74	11	0.9935	NA	8	39.5390	MOBP1;T_virB9;T_virB8;T_virB6	NA
CP042889.1	ENA|CP042889|CP042889.1	7939	No terminal repeats	9	11	0.9942	NA	3	4.5487	MOBP1	NA
CP042890.1	ENA|CP042890|CP042890.1	4057	No terminal repeats	4	11	0.9928	NA	1	1.7183	NA	NA
CP042891.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042892.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042896.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042897.1	ENA|CP042897|CP042897.1	167754	No terminal repeats	165	11	0.9948	NA	29	103.3696	F_traN;F_traF;F_traH;F_traG;MOBF;F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU	NF012171
CP042898.1	ENA|CP042898|CP042898.1	215531	No terminal repeats	238	11	0.9943	NA	17	176.7784	t4cp1;MOBH;F_traF;F_traH;F_trbC;F_traU;F_traW;virb4;F_traV;F_traB;F_traE	NF012174
CP042899.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP042900.1	ENA|CP042900|CP042900.1	117296	No terminal repeats	134	11	0.9933	NA	9	39.4394	MOBC;T_virB9;T_virB8;T_virB6;virb4	NF012174;NF012171
CP042907.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043191.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043192.1	ENA|CP043192|CP043192.1	165649	No terminal repeats	200	11	0.9929	NA	22	76.2864	F_trbC;F_traU;F_traW;virb4;F_traV;F_traB;F_traK;F_traE;F_traL;t4cp1;MOBH;F_traF;F_traH;F_traG;T_virB1	NF033085;NF012171;NF012174
CP043203.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043204.1	ENA|CP043204|CP043204.1	64415	No terminal repeats	85	11	0.9931	NA	8	38.7464	MOBP1;T_virB9;T_virB8;T_virB6	NF033085
CP043211.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043212.1	ENA|CP043212|CP043212.1	64997	No terminal repeats	85	11	0.9933	NA	8	38.7464	MOBP1;T_virB9;T_virB8;T_virB6	NF033085
CP043225.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043284.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043285.1	ENA|CP043285|CP043285.1	99721	No terminal repeats	114	11	0.9952	NA	19	76.9739	MOBP1;I_trbB;I_trbA;I_traY;I_traW;I_traV;traU;I_traT;I_traR;I_traQ;I_traP;I_traO;I_traN;I_traL;I_traK;I_traI;I_traE	NF033085
CP043286.1	ENA|CP043286|CP043286.1	111058	No terminal repeats	128	11	0.9945	NA	16	66.7708	MOBF;t4cp2;F_traG;F_traH;F_traE;F_traL	NF040806;NF012174;NF033144;NF012171;NF000119
CP043287.1	ENA|CP043287|CP043287.1	46161	No terminal repeats	58	11	0.9934	NA	9	25.1041	T_virB9;T_virB8;T_virB6;virb4;T_virB2;T_virB1	NF012147
CP043288.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043289.1	ENA|CP043289|CP043289.1	72276	No terminal repeats	87	11	0.9956	NA	29	82.1572	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;F_traG;MOBF	NA
CP043290.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043291.1	ENA|CP043291|CP043291.1	3372	No terminal repeats	4	11	0.9950	NA	3	4.5487	MOBP1	NA
CP043292.1	ENA|CP043292|CP043292.1	2255	No terminal repeats	4	11	0.9897	NA	2	2.3458	NA	NA
CP043293.1	ENA|CP043293|CP043293.1	2028	No terminal repeats	2	11	0.9964	NA	2	2.1806	NA	NA
CP043294.1	ENA|CP043294|CP043294.1	1308	No terminal repeats	2	11	0.9843	NA	2	1.9887	NA	NA
CP043332.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043333.1	ENA|CP043333|CP043333.1	46161	No terminal repeats	59	11	0.9939	NA	9	25.1041	T_virB9;T_virB8;T_virB6;virb4;T_virB2;T_virB1	NF012147
CP043362.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043363.1	ENA|CP043363|CP043363.1	131027	No terminal repeats	142	11	0.9950	NA	29	106.4781	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;MOBF	NA
CP043364.1	ENA|CP043364|CP043364.1	127885	No terminal repeats	155	11	0.9949	NA	28	114.8116	MOBF;F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF012171;NF012174
CP043389.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043390.1	ENA|CP043390|CP043390.1	4439	No terminal repeats	4	11	0.9943	NA	1	3.7538	NA	NF012176
CP043391.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043401.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043414.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP043415.1	ENA|CP043415|CP043415.1	138121	No terminal repeats	141	11	0.9951	NA	31	91.5941	F_traE;F_traE;MOBF;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NA
