resolved_accession	length
AP027236.1	12368
AP024831.1	2990066
LR135205.1	50023
CP169652.1	21325
CP061819.1	99040
CP066386.1	6895
LR135227.1	169998
CP184239.1	2691786
CP131848.1	2974033
LR135292.1	7846
CP119151.1	199975
CP066631.1	61213
JBRDFD000000000.1	157983
JBRDFD000000000.1	73892
JBRDFD000000000.1	44061
JBRDFD000000000.1	5564
JBRDFD000000000.1	837
JBRDFD000000000.1	141291
JBRDFD000000000.1	8685
JBRDFD000000000.1	125993
JBRDFD000000000.1	5496
CP066626.1	6303
AP019396.1	17267
CP184186.1	4048
CP035645.1	6303
CP184168.1	229174
CP161871.1	24681
LR135391.1	4375
LT598668.1	7837
CP059753.1	4991
CP032309.1	21516
CP066575.1	1980
LR135221.1	114941
CP114617.1	2812792
CP128188.1	2881288
CP038996.1	2796178
CP171717.1	190628
CP072722.1	99040
CP066392.1	33158
AP027229.1	71757
CP064412.1	1241
CP096217.1	3274
CP131838.1	36005
CP072594.1	1979
CP137472.1	2467929
CP018828.1	2807999
CP059818.1	28489
CP066591.1	2877225
CP019974.1	55063
LR135442.1	2056
CP169651.1	181929
CP189712.1	2774839
CP171697.1	2684280
CP083922.1	52056
CP191797.1	3019
LR135174.1	2729991
CP066671.1	6303
LR135179.1	2447891
CP030110.1	2683778
CP040905.1	198480
CP085915.1	4463
CP066584.1	1980
CP059758.1	54357
CP066615.1	198741
CP072709.1	44920
CP197063.1	47927
AP026773.1	138954
LR135250.1	9317
CP059770.1	4464
CP072576.1	3866
LR135368.1	9507
LR135332.1	133389
CP066441.1	4305
CP192618.1	2796
CP040744.1	2056
OU016045.1	1928
CP064406.1	2614023
CP137467.1	163281
AP028419.1	5851
CP016167.1	2125
AP027223.1	71754
CP065773.1	2500673
CP079927.1	2666353
OU015708.1	2886360
CP176381.1	4463
LR135172.1	46429
LR135207.1	29946
LR135490.1	136287
CP171721.1	4374
CP012432.1	57543
AP026670.1	9013
CP083913.1	213284
OU015351.1	156551
OU016043.1	4374
LR135370.1	1981
CP171699.1	106559
CP184242.1	59193
CP109842.1	51108
CP131803.1	34319
CP061820.1	37510
CP034950.1	37182
CP088192.1	178351
CP066416.1	55498
CP072881.1	2448233
CP184238.1	5946
CP119153.1	30403
CP059810.1	6173
CP040371.1	1718
CP040743.1	6175
CP065752.1	2557427
CP066466.1	2898846
CP071961.1	10238
OU015947.1	202753
OU015714.1	3304
CP066599.1	17982
CP034946.1	6455
AP027227.1	2751268
LR135441.1	3221
CP131816.1	4377
CP066602.1	6303
CP131846.1	4377
CP189634.1	230007
CP023807.1	4374
CP091207.1	138406
CP061823.1	3871
CP065761.1	3199
LR135388.1	9316
CP091101.1	27897
CP158594.1	34109
LR135425.1	3129
CP076481.1	41819
CP161859.1	106517
CP176376.1	197154
LR135386.1	70572
CP074107.1	2425126
CP072568.1	210114
CP171715.1	4374
CP023810.1	10647
LR135281.1	39397
OU015946.1	2876766
LR135269.1	1928
CP197039.1	11340
AP027295.1	243853
CP072572.1	7095
CP160389.1	2913991
CP020491.1	1979
CP046169.1	19255
LR135311.1	27647
CP062266.1	227172
CP074110.1	165652
CP059780.1	4372
CP018831.1	46747
CP072728.1	2574
CP072730.1	1928
CP059811.1	4465
CP089323.1	11983
CP035222.1	4265
LR135198.1	223834
CP023799.1	2867667
CP064348.1	6173
CP137475.1	49249
CP089320.1	228311
CP129234.1	1198
CP017787.1	2868496
CP079928.1	72048
CP071958.1	2710423
LR135491.1	42699
CP059747.1	2808798
CP131818.1	2844496
LR135264.1	4408
CP066657.1	6303
CP072729.1	1979
CP091578.1	231428
CP047326.1	2477277
CP189599.1	149547
CP066596.1	6303
CP060863.1	261677
CP059822.1	2056
CP116526.1	28578
CP066477.1	6303
CP129232.1	1535
OU016028.1	202690
CP197454.1	126143
AP027294.1	2552600
CP066604.1	4374
CP065524.1	94576
CP091216.1	27383
CP072880.1	41084
CP184171.1	11939
CP064343.1	2796800
LR135424.1	5779
CP040742.1	132733
LR135200.1	41060
CP018129.1	222278
CP116551.1	41241
CP129223.1	47983
CP144272.1	248575
CP097063.1	52519
LR135314.1	5204
CP061821.1	9934
CP019988.1	2907074
CP064425.1	203164
CP066216.1	9392
CP044269.1	6173
CP112862.1	2891501
CP045013.1	206375
CP066605.1	2189
LR135222.1	54563
CP066646.1	1980
LN999990.1	38742
CP059819.1	24162
LR135319.1	66773
CP109799.1	41051
CP065755.1	179532
CP171692.1	2789834
CP019209.1	215998
CP059788.1	8209
CP027517.1	2863087
CP061824.1	3846
CP192236.1	4305
CP072724.1	9934
CP066394.1	4375
CP059771.1	2419
CP072887.1	26651
CP129398.1	4461
CP033210.1	11916
CP096219.1	2769471
CP065767.1	2723190
CP041270.2	2851771
CP131801.1	2875106
CP093951.1	6303
CP027499.1	63221
CP044273.1	1741
CP016168.1	4796
CP066623.1	200088
CP114618.1	149649
CP184236.1	108754
CP131823.1	4377
CP071930.1	220241
CP071931.1	2869924
CP066450.1	1980
LR135315.1	4374
CP044322.1	11825
CP112864.1	82830
CP091579.1	44472
CP059798.1	17300
CP137465.1	2421017
CP116534.1	24768
CP066475.1	63104
CP033209.1	39621
AP027233.1	2754558
CP092573.1	1979
CP060865.1	94256
OU016029.1	47525
JAOXXX000000000.1	46475
JAOXXX000000000.1	2376
JAOXXX000000000.1	10132
JAOXXX000000000.1	54283
JAOXXX000000000.1	53509
JAOXXX000000000.1	5794
JAOXXX000000000.1	24848
JAOXXX000000000.1	100184
JAOXXX000000000.1	9603
JAOXXX000000000.1	7573
LR135402.1	239811
CP131862.1	168193
CP152088.1	2915287
CP038170.1	2459230
CP152091.1	32429
CP192233.1	41976
CP013010.1	66496
LR135220.1	165514
CP091220.1	5688
CP131857.1	272409
CP066435.1	161669
CP066399.1	1979
CP137468.1	2503319
CP041255.1	53447
LR135474.1	2432228
CP129226.1	4461
CP019989.1	287502
CP196035.1	2520275
CP085895.1	224636
CP141092.1	2619216
CP066641.1	47773
CP065782.1	3875
CP092377.1	3782
AP027238.1	8744
CP066601.1	7165
CP068246.1	54259
CP171694.1	149979
CP059765.1	294680
CP141091.1	74657
CP027502.1	168778
CP064407.1	164531
CP040708.1	71214
CP061822.1	4465
CP088195.1	2619548
CP040704.1	206851
CP116522.1	46474
CP066393.1	6172
CP044325.1	4372
CP046075.1	18356
LR135448.1	18942
CP172561.1	113742
CP017800.1	36019
CP116528.1	2615984
LR135420.1	245801
CM129828.1	2449352
LR135261.1	53521
LR135413.1	2947
CP072579.1	2835007
CP038163.1	2639821
CP131835.1	233268
CP059767.1	28402
OU015347.1	63427
CP137463.1	187042
CP097028.1	189968
LR135325.1	162848
OU015950.1	6503
CP018131.1	23736
LR135385.1	238264
CP176378.1	77977
LR135486.1	3199
LR135291.1	9319
CP093954.1	211188
CP097023.1	142475
LR135336.1	9529
CP094232.1	58545
CP041263.2	89846
CP065933.1	9316
CP099980.1	180811
CP011831.1	10839
CP072589.1	29437
CP059828.1	4465
CP066421.1	2877824
OU015953.1	2947
CP191798.1	3008
CP017796.1	10382
CP131837.1	41779
CP131798.1	8065
CP023785.1	199876
LR135782.1	2416266
CP116538.1	27897
AP027232.1	4372
OU015716.1	1928
LR135284.1	4372
OU015949.1	7670
CP058891.1	2755510
CP129225.1	5946
CP176382.1	2857
CP096221.1	54822
CP066455.1	6303
CP044317.1	199401
CP018829.1	13141
LR135265.1	4374
CP096211.1	2977510
CP197456.1	44641
CP059776.1	7974
LR135333.1	132509
CP040741.1	238664
LR135278.1	2919744
CP066432.1	4305
LR135360.1	14158
AP026666.1	2834237
CP046167.1	234807
CP116535.1	12989
CP066449.1	4305
CP050255.1	2684010
LR135256.1	155151
CP129229.1	2530
CP011828.1	2598959
LR135173.1	4147
LR135321.1	6174
AP019394.1	2535796
CP059772.1	2788375
LR134096.1	124986
CP023808.1	2870954
CP044278.1	7670
CP059756.1	246466
CP089324.1	1928
AP028417.1	75806
CP072886.1	53837
CP083915.1	7669
CP131865.1	15747
CP066610.1	37877
CP109838.1	53378
CP176375.1	2885794
CP003585.1	66247
CP072720.1	2869878
CP040850.1	207651
CP083917.1	2947
CP065763.1	1979
CP041257.1	2766162
CP035654.1	2827987
CP189633.1	2822304
LR135304.1	5250
LR135169.1	2528228
CP023791.1	40911
LR135415.1	239811
CP131827.1	37758
CP132227.1	50239
CP127335.1	10737
LR135280.1	57185
CP040370.1	3846
CP072595.1	1933
CP161858.1	171709
CP132228.1	4461
CP189635.1	22261
CP053704.1	2685395
CP066634.1	4305
CP003353.1	3847
CP071967.1	3837
CP059775.1	27191
CP066420.1	1980
CP018834.1	13141
AP027231.1	12370
CP192319.1	4075
CP109758.1	2613997
LR135238.1	55118
CP131854.1	4377
CP197061.1	2841631
CP065770.1	2632191
CP091103.1	180523
LR135398.1	7837
CP131830.1	5212
LR135235.1	2716742
OU016038.1	103363
CP020484.1	2880780
CP131813.1	11283
CP040907.1	2648833
CP131840.1	2947
LR135344.1	3014357
CP066633.1	6311
CP038995.1	2736390
CP176379.1	22082
CP035138.1	4609
CP041268.2	1980
CP034949.1	2594563
CP018068.1	13112
CP116552.1	38387
CP011829.1	229882
CP085907.1	224638
CP197043.1	15674
CP192614.1	59143
CP189637.1	4463
CP085904.1	2056
OU016032.1	6174
CP118551.1	25672
CP066476.1	62212
CP012463.1	54805
CP191790.1	229665
JAOXXZ000000000.1	15166
JAOXXZ000000000.1	60775
JAOXXZ000000000.1	626
JAOXXZ000000000.1	81051
JAOXXZ000000000.1	76094
JAOXXZ000000000.1	61100
JAOXXZ000000000.1	218867
CP192231.1	231406
LR135401.1	2926259
CP023798.1	4375
CP137469.1	15881
CP065550.1	44323
CP189639.1	1948
CP189638.1	3425
CP027508.1	53613
LR135255.1	218993
CP072584.1	4373
CP096215.1	6173
LR135429.1	209872
CP044277.1	12527
CP041266.2	6173
CP137471.1	133819
CP066424.1	36284
LR135310.1	38828
CP035661.1	295052
LR135237.1	60014
CP027515.1	53654
CP066462.1	6303
CP059743.1	24162
CP119150.1	2934904
CP023812.1	81514
CP066580.1	11477
CP076478.1	205436
CP197048.1	28556
CP066590.1	4305
AP027230.1	60121
CP076475.1	34693
CP076487.1	4374
CP191793.1	9316
AP026568.1	82303
CP066400.1	1933
CP131832.1	4067
CP064349.1	4465
CP062270.1	17300
CP072716.1	5212
CP192315.1	60312
CP019992.1	2990310
LR135184.1	4118
CP065771.1	244041
CP093955.1	42856
CP064049.1	2880300
CP059795.1	44920
CP041264.2	65253
LR135489.1	229675
CP066454.1	44442
CP003586.1	251926
CP071926.1	6268
CP023802.1	10647
CP161865.1	55596
CP060864.1	6173
CP035657.1	6303
CP085898.1	23182
CP116540.1	2639985
CP065753.1	24353
LR135308.1	156709
AP026655.1	2836077
CP046170.1	6173
CP112865.1	59943
AP026571.1	4378
CP118955.1	2529607
CM125962.1	2760706
CP131796.1	271337
CP118549.1	67732
CP066445.1	57029
CP065932.1	45647
CP017799.1	54822
CP192316.1	41016
CP096218.1	3109
LR135195.1	5275
LR135318.1	162819
CP131856.1	2845749
CP191796.1	4074
LR135312.1	7985
CP131814.1	6029
LR135488.1	3004008
CP066650.1	6303
CP195299.1	57031
CP127333.1	45311
CP079929.1	21754
AP024837.1	3019093
CP171701.1	44301
CP059803.1	2056
CP066397.1	4372
LR135230.1	44498
CP091222.1	174795
CP059752.1	5212
CP065776.1	27166
CP072885.1	174746
CP131829.1	6303
CP018827.1	259837
CP066660.1	187470
CP027519.1	48209
CP065523.1	2840234
CP059744.1	11825
LR135400.1	2947
CP066447.1	6312
CP072734.1	37510
CP016169.1	832
CP059787.1	16666
LR135367.1	15151
CP066677.1	7165
CP094231.1	181403
CP072710.1	43862
AP026777.1	6776
CP023424.1	195692
LR135453.1	4305
CP104269.1	10366
CP023781.1	199876
CP066667.1	2804833
LR135223.1	38599
CP059741.1	41241
AP026668.1	76985
CP186536.1	151144
CP011282.1	152440
CP128189.1	31838
OU015354.1	10069
CP118956.1	142622
CP116545.1	39454
CP059815.1	2056
CP065754.1	2650864
CP059825.1	41614
CP186537.1	67195
LR135405.1	7837
AP026663.1	41212
CP018073.1	170854
CP161863.1	2533916
CP171703.1	2693591
CP072741.1	1928
CP046079.1	6173
CP027513.1	184337
CP066597.1	6263
CP059796.1	43862
AP026664.1	9527
CP065774.1	226673
CP066572.1	6168
CP017790.1	36019
LR135279.1	231651
CP035137.1	211011
CP129221.1	2666987
CP066471.1	6267
CP096214.1	6303
CP040705.1	8748
CP076476.1	4374
LR135334.1	72466
CP012431.1	44226
CP171704.1	192369
CP066655.1	23540
CP131809.1	2943999
LR135476.1	256660
AP026657.1	76985
CP197458.1	24333
LR135434.1	3305
CP046078.1	36877
AP026660.1	2833359
CP066608.1	198742
CP018832.1	259837
CP019975.1	47460
CP091218.1	182818
CP065547.1	2875522
CP132226.1	2572234
LR135320.1	38929
CP197042.1	56725
CP189640.1	1928
LR135416.1	7837
CP083924.1	7669
LN999988.1	192533
CP160390.1	45954
CP059807.1	122126
CP116516.1	44010
CP064413.1	941
LR135254.1	2679986
CP018067.1	29012
CP039730.1	97574
CP012462.1	77567
CP066384.1	60650
CP059784.1	2717697
LR135374.1	88799
CP116518.1	122895
CP129227.1	2947
CP144273.1	2715704
OU016033.1	4374
CP116023.1	2506224
CP118548.1	2697349
LR135239.1	51960
CP091210.1	2488599
CP197036.1	211327
CP059764.1	2705156
LR135338.1	2857
CP197066.1	15672
CP072733.1	99040
CP171722.1	2754883
AP028418.1	6303
CP072573.1	6173
CP192239.1	3008
JBRYYC000000000.1	111773
JBRYYC000000000.1	20600
JBRYYC000000000.1	57427
JBRYYC000000000.1	121664
JBRYYC000000000.1	37059
JBRYYC000000000.1	115370
JBRYYC000000000.1	34191
CP025427.1	142988
CP091226.1	20845
CP033206.1	2876110
CP066391.1	56323
CP085912.1	6326
CP072878.1	2608143
CP197062.1	219478
CP128995.1	2691296
CP018830.1	2802604
LR135432.1	9317
CP131805.1	6734
CP023806.1	10647
CP072721.1	213054
LR135282.1	19928
CP065934.1	4074
LR135363.1	1928
CP064410.1	4497
LR135206.1	38582
CP072883.1	40266
LR135176.1	16029
CP066410.1	198742
CP044276.1	40955
CP094230.1	2834459
LR135204.1	231143
CP171709.1	2690854
CP040878.1	2618436
CP059797.1	36116
CP155445.1	19502
CP066417.1	198740
CP091303.1	66324
LR135361.1	5779
CP093942.1	255599
CP071962.1	9934
AP027221.1	2754504
CP131828.1	34978
LR135383.1	1932
LR135351.1	2864834
LR135414.1	2926309
LR135451.1	5781
CP006030.1	2693877
CP066579.1	43236
CP192616.1	9316
AP026603.1	31114
CP066470.1	6312
CP091213.1	2558214
CP083919.1	1979
CP137464.1	37427
LR135170.1	2421093
CP066658.1	6173
AP024834.1	9507
CP066483.1	34144
CP060861.1	2906760
CP093946.1	6239
JBQPXD000000000.1	8394
JBQPXD000000000.1	145580
JBQPXD000000000.1	20215
JBQPXD000000000.1	109339
JBQPXD000000000.1	34787
JBQPXD000000000.1	58987
JBQPXD000000000.1	109450
JBQPXD000000000.1	3278
JBQPXD000000000.1	257440
JBQPXD000000000.1	23096
JBQPXD000000000.1	25485
JBQPXD000000000.1	271
LR135299.1	58745
CP197044.1	12346
LR135450.1	6355
CP023800.1	202540
CP131802.1	242216
CP064430.1	4074
CP035648.1	2824869
CP027507.1	231024
LR135485.1	4787
CP131850.1	37767
CP091100.1	2560635
AP022342.1	253148
CP027498.1	207001
LR135329.1	4374
OU016037.1	204460
CP119156.1	5807
CP085897.1	63475
LR135449.1	12078
CP171719.1	61383
CP076483.1	2841245
CP076482.1	4374
CP066668.1	134270
CP045603.1	78670
CP040703.1	10664
CP020489.1	217014
CP176380.1	7837
CP035659.1	3008
CP076484.1	264192
CP071968.1	2056
CP071969.1	1979
CP035649.1	257028
LR135296.1	10634
LR135477.1	44000
CP084185.1	4461
CP066448.1	6272
CP015123.1	56285
OU016027.1	2893311
CP066651.1	6263
LR135324.1	2791579
CP093950.1	6174
CP197067.1	56705
CP038997.1	123020
CP065210.1	2529606
CP065549.1	198774
LR135446.1	44438
CP066431.1	6303
CP129228.1	2839
LR135419.1	2945939
CP161862.1	4374
CP062269.1	36116
CP172565.1	8065
CP131806.1	4461
CP066593.1	55497
CP066440.1	7012
CP066611.1	6303
AP019395.1	196595
CP012522.1	2572333
LR135294.1	256017
LR135307.1	2990636
CP066637.1	2977402
CP025077.1	2630073
CP072725.1	4465
CP027504.1	36024
CP066665.1	5212
CP091581.1	8447
CP116548.1	38387
CP131844.1	28012
CP071929.1	24233
CP131859.1	28013
CP059766.1	37121
CP092375.1	44886
CP066438.1	38373
LR135399.1	3221
CP191789.1	2802459
CP041276.1	4372
CP059768.1	9934
CP066578.1	56293
CP116515.1	148727
AP026661.1	173397
CP072712.1	17300
CP116550.1	160122
AP026669.1	41193
CP171710.1	185386
CP161867.1	2533745
CP044324.1	5072
CP018066.1	230049
CP050648.1	2633058
CP072731.1	2869878
AP026658.1	42042
CP158593.1	45954
CP072735.1	9934
CP066443.1	2907111
CP161857.1	2753817
LR135411.1	9317
CP019994.1	99829
CP013009.1	2686859
CP066457.1	2891429
LR135445.1	58508
LR135433.1	5275
CP066643.1	4075
CP047328.1	21625
CP014533.1	17254
CP065783.1	1933
CP171716.1	2689333
CP023780.1	2863296
CP197457.1	36840
CP072570.1	27191
CP066673.1	2856614
CP066426.1	4374
CP065760.1	3837
CP044272.1	4374
CP041278.1	1705
CP129231.1	1926
CP038174.1	2672619
CP125282.1	78861
LR134106.1	164095
CP065528.1	15691
CP129230.1	2024
CP072884.1	2602775
CP066625.1	43860
CP064345.1	96497
CP076477.1	2841244
CP041277.1	1979
CP092376.1	5601
CP065757.1	35644
CP171718.1	106493
CP023427.1	10105
CP096226.1	2189
CP050650.1	2633054
CP068245.1	154716
CP195298.1	2728138
CP116533.1	186836
CP059805.1	1374
LR135377.1	6095
CP085899.1	7838
CP072718.1	1935
CP131804.1	28012
LR135191.1	2743333
CP072740.1	1979
CP044275.1	201015
LR135394.1	2894948
LR135267.1	1981
CP066630.1	164644
CP116549.1	2652140
CP071959.1	296092
CP066474.1	194067
CP091219.1	21430
CP072587.1	242945
LR135335.1	35768
CP091221.1	2766791
LR215968.1	2545110
LR135248.1	37323
CP059760.1	6188
CP041269.2	35172
LR135380.1	4372
LR135328.1	6174
CP137473.1	237648
LR135229.1	50023
CP019971.1	129683
CP083474.1	196609
CP072711.1	36116
LR135253.1	2189
AP026656.1	172275
CP061817.1	2869878
CP076474.1	57509
CP066215.1	2651821
OU015711.1	51289
CP152089.1	253159
CP116527.1	18533
CP064415.1	645
CP023793.1	4374
CP131863.1	83634
LR135219.1	2677660
CP025754.1	2817746
LR135359.1	51724
CP184167.1	2788131
CP116519.1	77238
CP065779.1	38662
LR135300.1	28557
CP035221.1	239262
CP116543.1	2722678
CP066649.1	45965
CP059814.1	3846
CP109840.1	57547
CP097014.1	2603360
CP184234.1	2850126
CP061827.1	1928
CP038172.1	2515672
CP016163.1	2823158
CP018128.1	2740566
CP033208.1	55808
LR135365.1	221376
CP171706.1	61383
CP066385.1	41600
CP192235.1	5088
CP131849.1	270653
LR135283.1	12090
LR134112.1	8671
AP024839.1	71967
CP066473.1	2836862
CP027497.1	2883877
CP044318.1	103074
CP072736.1	4465
CP066663.1	7940
CP116541.1	158971
CP066427.1	2887365
CP065775.1	27490
CP059823.1	2800014
CP131847.1	1979
CP066459.1	88651
CP068244.1	2566374
CP131797.1	34105
LR134110.1	42954
LR135421.1	38228
LR135356.1	2856
CP161870.1	55596
CP066472.1	1980
CP109759.1	62460
CP089322.1	40605
AP024840.1	9507
CP065530.1	19873
CP072590.1	6173
CP018071.1	2933966
CP131812.1	28013
CP197064.1	12342
CP161868.1	175811
CP059785.1	130516
CP066589.1	6303
CP059759.1	35478
CP192313.1	203134
LR135182.1	167526
CP116537.1	134360
AP027224.1	12309
CP171726.1	43537
CP059816.1	2826067
CP171723.1	171709
CP158596.1	4686
CP131810.1	234957
AP027296.1	43624
CP084178.1	2726121
CP072567.1	2788375
CP059773.1	210114
LR135487.1	1928
CP083923.1	21133
CP066662.1	57134
CP184185.1	6173
LR135440.1	4065
CP066635.1	4074
CP066458.1	193594
CP089319.1	2831554
CP097026.1	18501
CP116514.1	2605577
LR135495.1	4372
CP066390.1	153899
CP023805.1	201207
CP066636.1	3007
CP076486.1	41819
OU015712.1	7019
CP035650.1	37293
CP189713.1	56147
CP013994.1	2966909
CP062273.1	6304
LR135482.1	2640999
CP189598.1	56708
LR135234.1	2056
CP059757.1	74076
CP043484.1	2573925
CP058892.1	12340
CP040368.1	2805984
LN999987.1	2766743
CP094233.1	5275
CP066460.1	62213
CP066661.1	62212
CP035136.1	2581021
CP184243.1	52737
CP175931.1	83815
CP059800.1	11638
CP012434.1	13123
CP131861.1	2883631
CP197040.1	32392
CP091304.1	60386
CP083929.1	1979
AP027222.1	248456
LT598666.1	77977
CP072727.1	3846
CP003352.2	56520
CP116531.1	18533
CP066632.1	35487
CP093953.1	2891566
CP062272.1	11638
LR135246.1	54563
CP097064.1	33236
CP184184.1	24346
CM130009.1	2436252
CP066642.1	6303
CP109839.1	2577332
LR135228.1	56226
CP050649.1	141022
CP059827.1	6173
CP018132.1	4137
CP059781.1	3866
CP171696.1	4375
CP066409.1	2912773
CP066436.1	65409
CP011283.1	58197
CP065548.1	55498
CP131800.1	2189
CP197453.1	242721
AP022344.1	6258
OU015713.1	4374
CP083180.1	124878
CP129395.1	54168
CP066479.1	4374
CP044327.1	2056
CP065553.1	1980
LR135183.1	39303
CP019995.1	58211
CP038162.1	36911
LR135258.1	2698881
LR135288.1	204418
CP127334.1	37267
CP072882.1	183270
CP197459.1	6173
CP161866.1	24681
CP019993.1	243818
CP003351.2	2952485
CP097025.1	23514
CP093945.1	3007
CP097027.1	2644774
LR132068.1	141895
LR135177.1	10188
CP066411.1	55497
CP027402.1	2550968
CP033207.1	167502
LR135175.1	149005
CP114623.1	3960
CP064051.1	63187
CP066624.1	55497
CP046076.1	240928
CP065777.1	2718572
CP093956.1	2056
CP066679.1	4305
LR135194.1	11208
CP066586.1	48758
CP017794.1	54822
CP085917.1	1979
CP171707.1	43484
CP084180.1	42382
CP059826.1	26581
CP066648.1	194710
CP131842.1	190703
CP172566.1	7846
LR134095.1	2520984
CP023801.1	40911
LR135354.1	11424
LR135343.1	15151
CP023795.1	202553
CP085913.1	6175
CP072580.1	235463
CP043485.1	168626
LR135435.1	2640062
CP035660.1	2912202
CP059801.1	6304
CP072737.1	3871
CP076471.1	2841249
OU016042.1	6174
LR135444.1	230681
CP189601.1	52392
CP038173.1	41394
CP062277.1	1374
CP062268.1	43862
CP040849.1	2659111
CP112863.1	233640
CP040904.1	2495617
CP041271.2	194168
CP074106.1	168353
CP161869.1	58219
CP064414.1	882
LR135303.1	7038
CP172564.1	25747
CP184172.1	4148
CP137477.1	211495
CP137470.1	48167
CP197045.1	8992
CP040906.1	133232
CP097024.1	24768
LR135406.1	3221
LR135437.1	19194
CP066425.1	12538
LR135290.1	26053
CP025687.1	185046
CP083921.1	213279
CP172559.1	2784832
CP044281.1	2189
CP128994.1	177732
CP059799.1	16641
CP066587.1	56588
CP017788.1	169793
CP197041.1	7501
LR135346.1	40152
CP066670.1	23540
CP171711.1	106438
CP131852.1	5212
CP059763.1	1980
LR135199.1	54628
LR134105.1	2689604
LR135286.1	4073
CP066418.1	11819
LR134337.1	2450323
CP059782.1	1979
CP059806.1	2715925
CP091580.1	21225
CP059745.1	5212
CP119157.1	4797
CP044320.1	41619
CP197462.1	1979
CP059742.1	28489
CP088193.1	30822
CP011285.1	13141
CP074108.1	165658
CP027512.1	2855729
CP025426.1	253120
CP011830.1	38512
CP011281.1	2790106
CP066485.1	1980
CP066451.1	2872079
CP097065.1	5254
CP004063.1	2635572
AP026779.1	6175
CP041273.1	65253
CP137466.1	34798
CP059804.1	1935
CP118550.1	196194
CP066406.1	29409
CP192238.1	3019
CP072708.1	227172
CP066437.1	57014
LR134107.1	55800
CP066653.1	2801313
CP192234.1	9316
CP184235.1	201958
CP032308.1	2585631
AP026667.1	173272
CP071960.1	40984
LR135203.1	2804950
CP066412.1	11819
LR135180.1	139885
CP196039.1	3191
CP065526.1	25787
CP116521.1	155657
LR135390.1	6083
CP192232.1	56344
CP059821.1	5212
CP195302.1	1979
CP092378.1	1527
AP027237.1	9369
CP066674.1	171777
CP065762.1	2056
LR135496.1	3221
CP097022.1	2701552
CP066413.1	6303
CP137474.1	39555
CP133953.1	2757047
CP066465.1	4374
AP024842.1	5849
CP025425.1	2772425
CP003583.1	2698137
LT598664.1	197153
CP059750.1	20166
CP074109.1	2428778
LR135342.1	28557
CP097016.1	41159
CP012460.1	2850245
CP059762.1	2056
CP027503.1	54738
CP064409.1	44860
CP131864.1	54049
LR135373.1	156371
CP091302.1	161029
OU016035.1	1928
CP023803.1	4374
CP027506.1	2731844
CP137476.1	2436244
CP066576.1	2963589
CP184237.1	50005
CP197455.1	50591
CP093947.1	2929543
CP171713.1	52094
CP085908.1	134985
LR135784.1	45085
OU015715.1	3221
CP083928.1	2857
LR135287.1	2829644
CP012433.1	886
CP184182.1	215027
CP017793.1	169793
CP197461.1	4374
AP026601.1	2921286
CP152092.1	12378
CP044274.1	2896393
LR135196.1	1068
CP072581.1	35966
CP064431.1	1980
CP044323.1	6173
CP038165.1	32169
CP072732.1	213054
CP072585.1	2056
CP189636.1	7165
AP026570.1	45504
CP023804.1	2870397
LR135226.1	2806840
LR135379.1	4466
CP142416.1	173215
CP072894.1	2600276
LT598665.1	79293
LR135384.1	2926852
LR135251.1	5088
CP071927.1	7837
CP116529.1	184843
CP131808.1	2947
CP142415.1	2547265
CP059761.1	4372
CP014532.1	9310
CP019990.1	25791
CP083925.1	4979
CP072577.1	1979
LR135289.1	45824
CP093952.1	2056
CP012461.1	200151
CP096213.1	42009
CP171727.1	4374
CP065552.1	6258
CP191791.1	59087
LR135249.1	13173
LR135349.1	5778
CP083914.1	48157
CP094236.1	36298
CP072578.1	1928
CP064053.1	4372
CP041272.1	89798
CP116520.1	2666289
CP066478.1	5212
AP026665.1	9009
CP116536.1	2685086
CP116025.1	25261
CP091224.1	2627634
CP027514.1	54737
LR135353.1	42610
CP066585.1	187242
CP027516.1	37152
CP192617.1	4305
CP102534.1	2685395
LR135326.1	61971
CP066433.1	1980
CP034948.1	155130
LR135357.1	2648040
CP018065.1	2933268
CP091211.1	98995
CP066647.1	55497
CP064428.1	43518
LR135396.1	63798
CP071925.1	6173
CP197047.1	125949
CP129399.1	2947
CP066439.1	8194
CP064347.1	10814
CP066415.1	2909522
CP066644.1	1980
CP033212.1	3008
OU016041.1	6501
LR135181.1	2678141
CP091214.1	174882
LR135233.1	2947
LR135340.1	234907
CP129393.1	2667118
CP027401.1	159454
OU015353.1	37193
CP129394.1	276614
CP046077.1	3029645
CP014535.1	65558
CP066609.1	59583
CP192615.1	49630
CP071965.1	4465
CP088196.1	23302
CP016166.1	48256
CP197460.1	4461
CP184241.1	85985
CP066664.1	6303
CP066453.1	55497
CP019991.1	18099
OU015350.1	2972427
CP066654.1	134270
LR134108.1	54563
CP171702.1	4374
CP040706.1	2702943
CP066627.1	4305
CP085894.1	2814835
CP065769.1	9392
CP116530.1	24566
CP197038.1	2843008
OU015349.1	10069
LR135378.1	5201
CP064424.1	2792338
CP040740.1	2718395
CP093949.1	42035
CP035655.1	256961
AP026772.1	2804859
CP116547.1	158971
CP020490.1	49542
CP131811.1	31210
OU015346.1	156565
CP003354.2	4119
AP027225.1	9370
CP059802.1	5212
CP172567.1	6304
CP119158.1	4587
CP019208.1	3009007
LR135309.1	55609
LR135268.1	1955
CP172562.1	45953
CP197065.1	9180
CP065756.1	56729
CP066618.1	6303
